agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21856,2023,16000000,11827000,"10 For services and expenses of independent living centers (21856) ......
11 16,000,000 ....................................... (re. $11,827,000)",1,10,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21856|2023|16000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21856,2022,16000000,2550000,"40 For services and expenses of independent living centers (21856) ......
41 16,000,000 ........................................ (re. $2,550,000)",1,40,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21856|2022|16000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21854,2022,1000000,323000,"42 For college readers aid payments (21854) .............................
43 1,000,000 ........................................... (re. $323,000)",1,42,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21854|2022|1000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21856,2021,13361000,131000,"22 For services and expenses of independent living centers (21856) ......
23 13,361,000 .......................................... (re. $131,000)",2,22,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21856|2021|13361000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21741,2021,15160000,5845000,"24 For services and expenses of supported employment and integrated
25 employment opportunities provided on or after October 1, 2019:
26 For services and expenses of programs providing or leading to the
27 provision of time-limited services or long-term support services
28 (21741) ... 15,160,000 ............................ (re. $5,845,000)",2,24,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21741|2021|15160000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23410,2021,6293000,335000,"33 For competitive grants for adult literacy/education aid to public and
34 private not-for-profit agencies, including but not limited to, 2 and
35 4 year colleges, community based organizations, libraries, and
36 volunteer literacy organizations and institutions which meet quality
37 standards promulgated by the commissioner of education to provide
38 programs of basic literacy, high school equivalency, and English as
39 a second language to persons 16 years of age or older [for the
40 remaining payments of the 2020-21 school year and for the 2021-22
41 school year, provided further that no more than $300,000 shall be
42 available for remaining payments for the 2020-21 school year]
43 (23410) ... 6,293,000 ............................... (re. $335,000)",2,33,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23410|2021|6293000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21713,2020,54000000,5000,"44 The appropriation made by chapter 53, section 1, of the laws of 2020, is
45 hereby amended and reappropriated to read:
46 For case services provided on or after October 1, 2018 to disabled
47 individuals in accordance with economic eligibility criteria devel-
48 oped by the department (21713) .....................................
49 54,000,000 ............................................ (re. $5,000)",2,44,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21713|2020|54000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21741,2020,15160000,241000,"291 12653-10-4
EDUCATION DEPARTMENT
AID TO LOCALITIES - REAPPROPRIATIONS 2024-25
1 For services and expenses of supported employment and integrated
2 employment opportunities provided on or after October 1, 2018:
3 For services and expenses of programs providing or leading to the
4 provision of time-limited services or long-term support services
5 (21741) ... 15,160,000 .............................. (re. $241,000)",3,1,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21741|2020|15160000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23410,2020,6293000,169000,"10 For competitive grants for adult literacy/education aid to public and
11 private not-for-profit agencies, including but not limited to, 2 and
12 4 year colleges, community based organizations, libraries, and
13 volunteer literacy organizations and institutions which meet quality
14 standards promulgated by the commissioner of education to provide
15 programs of basic literacy, high school equivalency, and English as
16 a second language to persons 16 years of age or older [for the
17 remaining payments of the 2019-20 school year and for the 2020-21
18 school year, provided further that no more than $300,000 shall be
19 available for remaining payments for the 2019-20 school year]
20 (23410) ... 6,293,000 ............................... (re. $169,000)",3,10,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23410|2020|6293000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23411,2019,1843000,10000,"21 The appropriation made by chapter 53, section 1, of the laws of 2019, is
22 hereby amended and reappropriated to read:
23 For grants to schools for programs involving literacy and basic educa-
24 tion for public assistance recipients for the 2019-20 school year
25 for those programs administered by the state education department
26 (23411) ... 1,843,000 ................................ (re. $10,000)",3,21,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23411|2019|1843000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23410,2019,6293000,482000,"27 For competitive grants for adult literacy/education aid to public and
28 private not-for-profit agencies, including but not limited to, 2 and
29 4 year colleges, community based organizations, libraries, and
30 volunteer literacy organizations and institutions which meet quality
31 standards promulgated by the commissioner of education to provide
32 programs of basic literacy, high school equivalency, and English as
33 a second language to persons 16 years of age or older [for the
34 remaining payments of the 2018-19 school year and for the 2019-20
35 school year, provided further that no more than $300,000 shall be
36 available for remaining payments for the 2018-19 school year]
37 (23410) ... 6,293,000 ............................... (re. $482,000)",3,27,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23410|2019|6293000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23411,2018,1843000,24000,"38 By chapter 53, section 1, of the laws of 2018, as added by chapter 54,
39 section 2, of the laws of 2018:
40 For grants to schools for programs involving literacy and basic educa-
41 tion for public assistance recipients for the 2018-19 school year
42 for those programs administered by the state education department
43 (23411) ... 1,843,000 ................................ (re. $24,000)",3,38,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23411|2018|1843000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23410,2018,6293000,47000,"292 12653-10-4
EDUCATION DEPARTMENT
AID TO LOCALITIES - REAPPROPRIATIONS 2024-25
1 volunteer literacy organizations and institutions which meet quality
2 standards promulgated by the commissioner of education to provide
3 programs of basic literacy, high school equivalency, and English as
4 a second language to persons 16 years of age or older [for the
5 remaining payments of the 2017-18 school year and for the 2018-19
6 school year, provided further that no more than $300,000 shall be
7 available for remaining payments for the 2017-18 school year]
8 (23410) ... 6,293,000 ................................ (re. $47,000)",4,1,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23410|2018|6293000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23410,2017,6293000,207000,"10 added by chapter 50, section 2, of the laws of 2017, is hereby
11 amended and reappropriated to read:
12 For competitive grants for adult literacy/education aid to public and
13 private not-for-profit agencies, including but not limited to, 2 and
14 4 year colleges, community based organizations, libraries, and
15 volunteer literacy organizations and institutions which meet quality
16 standards promulgated by the commissioner of education to provide
17 programs of basic literacy, high school equivalency, and English as
18 a second language to persons 16 years of age or older [for the
19 remaining payments of the 2016-17 school year and for the 2017-18
20 school year, provided further that no more than $300,000 shall be
21 available for remaining payments for the 2016-17 school year]
22 (23410) ... 6,293,000 ............................... (re. $207,000)",4,10,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23410|2017|6293000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,VESID Social Security Account - 22001,21734,2021,48704000,10764000,"3 For grants to schools and other eligible entities for adult basic
4 education, literacy, and civics education pursuant to the workforce
5 investment act (21734) ... 48,704,000 ............ (re. $10,764,000)",5,3,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21734|2021|48704000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,VESID Social Security Account - 22001,21852,2020,11760000,5376000,"18 By chapter 53, section 1, of the laws of 2020:
19 For the rehabilitation of social security disability beneficiaries
20 (21852) ... 11,760,000 ............................ (re. $5,376,000)",5,18,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21852|2020|11760000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,VESID Social Security Account - 22001,21852,2019,11760000,11760000,"21 By chapter 53, section 1, of the laws of 2019:
22 For the rehabilitation of social security disability beneficiaries
23 (21852) ... 11,760,000 ........................... (re. $11,760,000)",5,21,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21852|2019|11760000
