agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,composite_key
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21713,2023,54000000,49105000,reappropriation,1,4,2024-25,"9 54,000,000 ....................................... (re. $49,105,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21713|2023|54000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21856,2023,16000000,11827000,reappropriation,1,10,2024-25,"11 16,000,000 ....................................... (re. $11,827,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21856|2023|16000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21854,2023,1000000,1000000,reappropriation,1,12,2024-25,"13 1,000,000 ......................................... (re. $1,000,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21854|2023|1000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21741,2023,15160000,15160000,reappropriation,1,14,2024-25,"18 (21741) ... 15,160,000 ........................... (re. $15,160,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21741|2023|15160000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23411,2023,1843000,1843000,reappropriation,1,19,2024-25,"22 (23411) ... 1,843,000 ............................. (re. $1,843,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23411|2023|1843000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23410,2023,7793000,7793000,reappropriation,1,23,2024-25,"33 (23410) ... 7,793,000 ............................. (re. $7,793,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23410|2023|7793000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21713,2022,54000000,32822000,reappropriation,1,34,2024-25,"39 54,000,000 ....................................... (re. $32,822,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21713|2022|54000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21856,2022,16000000,2550000,reappropriation,1,40,2024-25,"41 16,000,000 ........................................ (re. $2,550,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21856|2022|16000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21854,2022,1000000,323000,reappropriation,1,42,2024-25,"43 1,000,000 ........................................... (re. $323,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21854|2022|1000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21741,2022,15160000,11161000,reappropriation,1,44,2024-25,"48 (21741) ... 15,160,000 ........................... (re. $11,161,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21741|2022|15160000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23411,2022,1843000,840000,reappropriation,2,1,2024-25,"4 (23411) ... 1,843,000 ............................... (re. $840,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23411|2022|1843000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23410,2022,7793000,2610000,reappropriation,2,5,2024-25,"15 (23410) ... 7,793,000 ............................. (re. $2,610,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23410|2022|7793000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21713,2021,54000000,5298000,reappropriation,2,16,2024-25,"21 54,000,000 ........................................ (re. $5,298,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21713|2021|54000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21856,2021,13361000,131000,reappropriation,2,22,2024-25,"23 13,361,000 .......................................... (re. $131,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21856|2021|13361000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21741,2021,15160000,5845000,reappropriation,2,24,2024-25,"28 (21741) ... 15,160,000 ............................ (re. $5,845,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21741|2021|15160000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23411,2021,1843000,4000,reappropriation,2,29,2024-25,"32 (23411) ... 1,843,000 ................................. (re. $4,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23411|2021|1843000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23410,2021,6293000,335000,reappropriation,2,33,2024-25,"43 (23410) ... 6,293,000 ............................... (re. $335,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23410|2021|6293000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21713,2020,54000000,5000,reappropriation,2,44,2024-25,"49 54,000,000 ............................................ (re. $5,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21713|2020|54000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21741,2020,15160000,241000,reappropriation,3,1,2024-25,"5 (21741) ... 15,160,000 .............................. (re. $241,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21741|2020|15160000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23411,2020,1843000,159000,reappropriation,3,6,2024-25,"9 (23411) ... 1,843,000 ............................... (re. $159,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23411|2020|1843000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23410,2020,6293000,169000,reappropriation,3,10,2024-25,"20 (23410) ... 6,293,000 ............................... (re. $169,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23410|2020|6293000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23411,2019,1843000,10000,reappropriation,3,21,2024-25,"26 (23411) ... 1,843,000 ................................ (re. $10,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23411|2019|1843000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23410,2019,6293000,482000,reappropriation,3,27,2024-25,"37 (23410) ... 6,293,000 ............................... (re. $482,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23410|2019|6293000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23411,2018,1843000,24000,reappropriation,3,38,2024-25,"43 (23411) ... 1,843,000 ................................ (re. $24,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23411|2018|1843000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23410,2018,6293000,47000,reappropriation,4,1,2024-25,"8 (23410) ... 6,293,000 ................................ (re. $47,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23410|2018|6293000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23410,2017,6293000,207000,reappropriation,4,10,2024-25,"22 (23410) ... 6,293,000 ............................... (re. $207,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23410|2017|6293000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21713,2023,70000000,70000000,reappropriation,4,26,2024-25,"28 ... 70,000,000 .................................. (re. $70,000,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21713|2023|70000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21856,2023,2572000,2572000,reappropriation,4,29,2024-25,"30 2,572,000 ......................................... (re. $2,572,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21856|2023|2572000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21741,2023,2500000,2500000,reappropriation,4,31,2024-25,"32 2,500,000 ......................................... (re. $2,500,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21741|2023|2500000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21734,2023,48704000,46861000,reappropriation,4,33,2024-25,"35 investment act (21734) ... 48,704,000 ............ (re. $46,861,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21734|2023|48704000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21713,2022,70000000,57600000,reappropriation,4,36,2024-25,"38 ... 70,000,000 .................................. (re. $57,600,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21713|2022|70000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21856,2022,2572000,2513000,reappropriation,4,39,2024-25,"40 2,572,000 ......................................... (re. $2,513,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21856|2022|2572000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21741,2022,2500000,1645000,reappropriation,4,41,2024-25,"42 2,500,000 ......................................... (re. $1,645,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21741|2022|2500000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21734,2022,48704000,35274000,reappropriation,4,43,2024-25,"45 investment act (21734) ... 48,704,000 ............ (re. $35,274,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21734|2022|48704000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,VESID Social Security Account - 22001,21713,2021,70000000,56703000,reappropriation,5,1,2024-25,"2 ... 70,000,000 .................................. (re. $56,703,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21713|2021|70000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,VESID Social Security Account - 22001,21734,2021,48704000,10764000,reappropriation,5,3,2024-25,"5 investment act (21734) ... 48,704,000 ............ (re. $10,764,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21734|2021|48704000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,VESID Social Security Account - 22001,21852,2023,6871000,6871000,reappropriation,5,9,2024-25,"11 (21852) ... 6,871,000 ............................. (re. $6,871,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21852|2023|6871000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,VESID Social Security Account - 22001,21852,2022,6871000,6099000,reappropriation,5,12,2024-25,"14 (21852) ... 6,871,000 ............................. (re. $6,099,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21852|2022|6871000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,VESID Social Security Account - 22001,21852,2021,11760000,5737000,reappropriation,5,15,2024-25,"17 (21852) ... 11,760,000 ............................ (re. $5,737,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21852|2021|11760000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,VESID Social Security Account - 22001,21852,2020,11760000,5376000,reappropriation,5,18,2024-25,"20 (21852) ... 11,760,000 ............................ (re. $5,376,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21852|2020|11760000
