agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,composite_key
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21713,2024,54000000,0,appropriation,1,19,2024-25,"(21713) ..................................... 54,000,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21713|2024|54000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21856,2024,16000000,0,appropriation,1,21,2024-25,"living centers (21856) ...................... 16,000,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21856|2024|16000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23462,2024,750000,0,appropriation,1,23,2024-25,"independent living centers (23462) ............. 750,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|23462|2024|750000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21854,2024,1000000,0,appropriation,1,24,2024-25,"For college readers aid payments (21854) ....... 1,000,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21854|2024|1000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21741,2024,15160000,0,appropriation,1,32,2024-25,"services (21741) ............................ 15,160,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21741|2024|15160000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23411,2024,1843000,0,appropriation,1,38,2024-25,"(23411) ...................................... 1,843,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|23411|2024|1843000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23410,2024,9293000,0,appropriation,2,4,2024-25,"of age or older (23410) ...................... 9,293,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|23410|2024|9293000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,56145,2024,500000,0,appropriation,2,6,2024-25,"literacy/education aid (56145) ................. 500,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|56145|2024|500000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21713,2024,70000000,0,appropriation,2,14,2024-25,"with disabilities (21713) ................... 70,000,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21713|2024|70000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21856,2024,2572000,0,appropriation,2,15,2024-25,"For the independent living program (21856) ..... 2,572,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21856|2024|2572000
