agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,composite_key
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21713,2025,54000000,0,appropriation,1,25.0,2025-26,"(21713) ..................................... 54,000,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21713|2025|54000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21856,2025,16000000,0,appropriation,1,27.0,2025-26,"living centers (21856) ...................... 16,000,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21856|2025|16000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21854,2025,1000000,0,appropriation,1,28.0,2025-26,"For college readers aid payments (21854) ....... 1,000,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21854|2025|1000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21741,2025,15160000,0,appropriation,1,36.0,2025-26,"services (21741) ............................ 15,160,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21741|2025|15160000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23411,2025,1843000,0,appropriation,1,42.0,2025-26,"(23411) ...................................... 1,843,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|23411|2025|1843000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23410,2025,9293000,0,appropriation,1,54.0,2025-26,"of age or older (23410) ...................... 9,293,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|23410|2025|9293000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,VESID Social Security Account - 22001,21713,2025,72100000,0,appropriation,2,2.0,2025-26,"with disabilities (21713) ................... 72,100,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21713|2025|72100000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,VESID Social Security Account - 22001,21856,2025,2572000,0,appropriation,2,3.0,2025-26,"For the independent living program (21856) ..... 2,572,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21856|2025|2572000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,VESID Social Security Account - 22001,21741,2025,2500000,0,appropriation,2,4.0,2025-26,"For the supported employment program (21741).... 2,500,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21741|2025|2500000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,VESID Social Security Account - 22001,21734,2025,48704000,0,appropriation,2,8.0,2025-26,"workforce investment act (21734) ............ 48,704,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21734|2025|48704000
