agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,composite_key
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10318,2025,41663244,0,appropriation,6,18.0,2025-26,"reimbursement (10318) ....................... 41,663,244",ATL 25-26.pdf,OFFICE FOR THE AGING|10318|2025|41663244
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10319,2025,69866436,0,appropriation,7,30.0,2025-26,"reimbursement (10319) ....................... 69,866,436",ATL 25-26.pdf,OFFICE FOR THE AGING|10319|2025|69866436
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10321,2025,353000,0,appropriation,7,34.0,2025-26,"centers (10321) ................................ 353,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10321|2025|353000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10322,2025,40491920,0,appropriation,8,14.0,2025-26,"reimbursement (10322) ....................... 40,491,920",ATL 25-26.pdf,OFFICE FOR THE AGING|10322|2025|40491920
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10323,2025,6190000,0,appropriation,8,24.0,2025-26,"aging (10323) ................................ 6,190,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10323|2025|6190000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10328,2025,656000,0,appropriation,8,33.0,2025-26,"distributed by provider (10328) ................ 656,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10328|2025|656000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10329,2025,1072000,0,appropriation,8,42.0,2025-26,"distributed by provider (10329) .............. 1,072,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10329|2025|1072000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10330,2025,4027500,0,appropriation,8,52.0,2025-26,"(10330) ...................................... 4,027,500",ATL 25-26.pdf,OFFICE FOR THE AGING|10330|2025|4027500
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10331,2025,4027500,0,appropriation,9,11.0,2025-26,"services (10331) ............................. 4,027,500",ATL 25-26.pdf,OFFICE FOR THE AGING|10331|2025|4027500
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10885,2025,1121000,0,appropriation,9,19.0,2025-26,"director of the budget (10885) ............... 1,121,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10885|2025|1121000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10335,2025,1000000,0,appropriation,9,22.0,2025-26,"seling and assistance program (10335) ........ 1,000,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10335|2025|1000000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10336,2025,175000,0,appropriation,9,29.0,2025-26,"grant objectives (10336) ....................... 175,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10336|2025|175000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10340,2025,793000,0,appropriation,9,43.0,2025-26,"Medicare Rights Center (10340) ................... 793,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10340|2025|793000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10341,2025,354000,0,appropriation,9,45.0,2025-26,"Inc. (10341) ................................... 354,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10341|2025|354000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10342,2025,222000,0,appropriation,9,46.0,2025-26,"New York Legal Assistance Group (10342) .......... 222,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10342|2025|222000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10343,2025,111000,0,appropriation,9,47.0,2025-26,"Legal Aid Society of New York (10343) ............ 111,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10343|2025|111000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10345,2025,155000,0,appropriation,9,48.0,2025-26,"Empire Justice Center (10345) .................... 155,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10345|2025|155000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10346,2025,132000,0,appropriation,9,49.0,2025-26,"Community Service Society (10346) ................ 132,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10346|2025|132000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10324,2025,216500,0,appropriation,9,51.0,2025-26,"senior volunteer program (RSVP) (10324) ........ 216,500",ATL 25-26.pdf,OFFICE FOR THE AGING|10324|2025|216500
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10325,2025,118500,0,appropriation,10,2.0,2025-26,"senior respite program (10325) ................. 118,500",ATL 25-26.pdf,OFFICE FOR THE AGING|10325|2025|118500
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10326,2025,71000,0,appropriation,10,5.0,2025-26,"program (10326) ................................. 71,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10326|2025|71000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10327,2025,86000,0,appropriation,10,8.0,2025-26,"ing and respite care program (10327) ............ 86,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10327|2025|86000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10332,2025,98000,0,appropriation,10,10.0,2025-26,"grandparents program (10332) .................... 98,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10332|2025|98000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10333,2025,745000,0,appropriation,10,14.0,2025-26,"elderly (10333) ................................ 745,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10333|2025|745000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10866,2025,122500,0,appropriation,10,19.0,2025-26,"dents (10866) .................................. 122,500",ATL 25-26.pdf,OFFICE FOR THE AGING|10866|2025|122500
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10867,2025,122500,0,appropriation,10,25.0,2025-26,"regarding the quality of services (10867) ...... 122,500",ATL 25-26.pdf,OFFICE FOR THE AGING|10867|2025|122500
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10320,2025,403000,0,appropriation,10,33.0,2025-26,"among the counties (10320) ..................... 403,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10320|2025|403000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10334,2025,31500,0,appropriation,10,37.0,2025-26,"project (10334) ................................. 31,500",ATL 25-26.pdf,OFFICE FOR THE AGING|10334|2025|31500
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10833,2025,1500000,0,appropriation,10,44.0,2025-26,"reporting (10833) ............................ 1,500,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10833|2025|1500000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10810,2025,250000,0,appropriation,11,11.0,2025-26,"ers in a timely manner (10810) ................. 250,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10810|2025|250000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10715,2025,1000000,0,appropriation,11,26.0,2025-26,"wills (10715) ................................ 1,000,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10715|2025|1000000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10735,2025,1000000,0,appropriation,11,37.0,2025-26,"ations (10735) ............................... 1,000,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10735|2025|1000000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10716,2025,53000000,0,appropriation,12,12.0,2025-26,"(10716) ..................................... 53,000,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10716|2025|53000000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10736,2025,250000,0,appropriation,12,15.0,2025-26,"of Lifespan of Greater Rochester (10736) ....... 250,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10736|2025|250000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10737,2025,350000,0,appropriation,12,20.0,2025-26,"opportunities (10737) .......................... 350,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10737|2025|350000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10738,2025,350000,0,appropriation,12,22.0,2025-26,"vation to reduce social isolation (10738) ...... 350,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10738|2025|350000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10739,2025,200000,0,appropriation,12,27.0,2025-26,"learning opportunities (10739) ................. 200,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10739|2025|200000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10740,2025,700000,0,appropriation,12,32.0,2025-26,"come older adults (10740) ...................... 700,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10740|2025|700000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10741,2025,400000,0,appropriation,12,34.0,2025-26,"caregiver training and supports (10741) ........ 400,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10741|2025|400000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10742,2025,500000,0,appropriation,12,37.0,2025-26,"capacity building (10742) ...................... 500,000",ATL 25-26.pdf,OFFICE FOR THE AGING|10742|2025|500000
