agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10760,2024,1000000,1000000,"17 For services and expenses, grants or reimbursement of expenses
18 incurred by local government agencies and/or community-based service
19 providers, not-for-profit service providers or their employees
20 providing services for the Project Guardianship Hotline program.
21 Notwithstanding any provision of law to the contrary, funds from
22 this appropriation may be suballocated or transferred to any state
23 department, agency or authority to effectuate the intent of this
24 appropriation with the approval of the temporary president of senate
25 and the director of the budget. Provided further, notwithstanding
26 any provision of law to the contrary, funds from this appropriation
27 shall be allocated only pursuant to a plan (i) approved by the
28 temporary president of the senate and the director of the budget
29 which sets forth either an itemized list of grantees with the amount
30 to be received by each, or the methodology for allocating such
31 appropriation, and (ii) which is thereafter included in a senate
32 resolution calling for the expenditure of such funds, which resol-
33 ution must be approved by a majority vote of all members elected to
34 the senate upon a roll call vote _(_1_0_7_6_0_) ...........................
35 1,000,000 ......................................... (re. $1,000,000)",22,17.0,2025-26,ATL 25-26.pdf,OFFICE FOR THE AGING|10760|2024|1000000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10717,2024,500000,500000,"36 For additional services and expenses of state aid grants to naturally
37 occurring retirement communities (NORC) and neighborhood naturally
38 occurring retirement communities (NNORC). Funding priority shall be
39 given to supplemental allocations to existing contracts _(_1_0_7_1_7_) ....
40 500,000 ............................................. (re. $500,000)",22,36.0,2025-26,ATL 25-26.pdf,OFFICE FOR THE AGING|10717|2024|500000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10712,2024,350000,350000,"41 For services and expenses, grants or reimbursement of expenses
42 incurred by local government agencies and/or community-based service
43 providers, not-for-profit service providers or their employees
44 providing Holocaust Survivors Initiative programs or service. Funds
45 appropriated herein shall not be subject to section 112 of the state
46 finance law and section 163 of the state finance law _(_1_0_7_1_2_) .......
47 350,000 ............................................. (re. $350,000)",22,41.0,2025-26,ATL 25-26.pdf,OFFICE FOR THE AGING|10712|2024|350000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10759,2024,250000,250000,"3 For services and expenses of the Westchester Residential Opportunities
4 Inc _(_1_0_7_5_9_) ... 250,000 ............................. (re. $250,000)",23,3.0,2025-26,ATL 25-26.pdf,OFFICE FOR THE AGING|10759|2024|250000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10823,2024,250000,250000,"5 For services and expenses of the Jewish Community Council of Greater
6 Coney Island, Inc _(_1_0_8_2_3_) ... 250,000 ............... (re. $250,000)",23,5.0,2025-26,ATL 25-26.pdf,OFFICE FOR THE AGING|10823|2024|250000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10830,2024,200000,200000,"7 For services and expenses of Gay, Lesbian, Bisexual and Transgender
8 Elders Inc (SAGE) _(_1_0_8_3_0_) ... 200,000 ............... (re. $200,000)",23,7.0,2025-26,ATL 25-26.pdf,OFFICE FOR THE AGING|10830|2024|200000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10713,2024,175000,175000,"9 For services and expenses of Center for Elder Law and Justice
10 (Prevention of Elder Abuse) _(_1_0_7_1_3_) ... 175,000 ..... (re. $175,000)",23,9.0,2025-26,ATL 25-26.pdf,OFFICE FOR THE AGING|10713|2024|175000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10847,2024,250000,250000,"11 For services and expenses of Lifespan of Greater Rochester, Inc
12 _(_1_0_8_4_7_) ... 250,000 ................................. (re. $250,000)",23,11.0,2025-26,ATL 25-26.pdf,OFFICE FOR THE AGING|10847|2024|250000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10761,2024,115000,115000,"13 For services and expenses of Lenox Hill Neighborhood House Inc _(_1_0_7_6_1_)
14 ... 115,000 ......................................... (re. $115,000)",23,13.0,2025-26,ATL 25-26.pdf,OFFICE FOR THE AGING|10761|2024|115000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10842,2024,100000,100000,"15 For services and expenses of LiveOn NY _(_1_0_8_4_2_) .......................
16 100,000 ............................................. (re. $100,000)",23,15.0,2025-26,ATL 25-26.pdf,OFFICE FOR THE AGING|10842|2024|100000
