agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
DEPARTMENT OF AGRICULTURE AND MARKETS,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,11354,2025,50000,0,"2 Central New York Lyme and Tick Borne Disease 3 Alliance (11354) ................................ 50,000",59,3,2025-26,ATL 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|11354|2025|50000
CITY UNIVERSITY OF NEW YORK,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,15495,2025,5333000,0,"29 For additional operating services and 30 expenses of community colleges pursuant to 31 a plan approved by the director of the 32 budget (15495) ............................... 5,333,000",108,32,2025-26,ATL 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15495|2025|5333000
CITY UNIVERSITY OF NEW YORK,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,15422,2025,1963919400,0,"113 12553-09-5 CITY UNIVERSITY OF NEW YORK AID TO LOCALITIES 2025-26 1 (b) miscellaneous revenue and fees, includ- 2 ing bad debt recoveries and income fund 3 reimbursable cost recoveries; 4 (c) pursuant to section 6221 of the educa- 5 tion law, a representative share of the 6 operating costs of those activities within 7 central administration and university-wide 8 programs which, as determined by the state 9 budget director, relate jointly to the 10 senior colleges and community colleges, 11 and New York city support for associate 12 degree programs at the College of Staten 13 Island and Medgar Evers College and 14 notwithstanding any other provision of 15 law, rule or regulation, New York city 16 support for associate degree programs at 17 New York city college of technology and 18 John Jay college, with such support based 19 on the 2022-23 full-time equivalent (FTE) 20 associate degree enrollments at these 21 campuses and calculated using the New York 22 city contribution per city university 23 community college FTE in the 2022-23 base 24 year, totaling $32,275,000; 25 Items (a) and (b) of the foregoing shall be 26 hereafter referred to as the senior 27 college revenue offset, and item (c) as 28 the central administration and universi- 29 ty-wide programs offset. 30 In no event shall the state support for the 31 operating expenses of the senior college 32 approved programs and services for the 12 33 month period beginning July 1, 2025 exceed 34 2,068,836,400(15422) ..................... 1,963,919,400",113,34,2025-26,ATL 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15422|2025|1963919400
CITY UNIVERSITY OF NEW YORK,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,15499,2025,3500000,0,"35 For services and expenses of the CUNY school 36 of labor and urban studies (15499) ........... 3,500,000",113,36,2025-26,ATL 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15499|2025|3500000
CITY UNIVERSITY OF NEW YORK,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,15481,2025,11500000,0,"115 12553-09-5 CITY UNIVERSITY OF NEW YORK AID TO LOCALITIES 2025-26 1 METROPOLITAN COMMUTER TRANSPORTATION MOBILITY TAX ........... 11,500,000 2 -------------- 3 General Fund 4 Local Assistance Account - 10000 5 For payment of the metropolitan commuter 6 transportation mobility tax pursuant to 7 article 23 of the tax law for the period 8 July 1, 2025 to June 30, 2026 on behalf of 9 those senior college employees employed in 10 the commuter transportation district. 11 Notwithstanding any other law to the 12 contrary, this appropriation may not be 13 decreased by interchange with any other 14 appropriation (15481) ....................... 11,500,000",115,14,2025-26,ATL 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15481|2025|11500000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23462,2025,750000,0,"22 For additional services and expenses of 23 independent living centers (23462) ............. 750,000",264,23,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23462|2025|750000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,56145,2025,500000,0,"5 For additional competitive grants for adult 6 literacy/education aid (56145) ................. 500,000",265,6,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|56145|2025|500000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21847,2025,1725000,0,"12 For additional aid to public libraries 13 (21847) ...................................... 1,725,000",266,13,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21847|2025|1725000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Operating Grants Account - 25456,23373,2025,100000,0,"20 -------------- 21 Program account subtotal ................... 5,400,000 22 -------------- 23 Special Revenue Funds - Other 24 Miscellaneous Special Revenue Fund 25 Love Your Library Account - 22119 26 For services and expenses of the statewide 27 summer reading program pursuant to subdi- 28 vision 9 of section 273 of the education 29 law and section 99-l of the state finance 30 law, as added by chapter 303 of the laws 31 of 2004, pursuant to a plan developed by 32 the commissioner of education and approved 33 by the director of the budget (23373) .......... 100,000",267,33,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23373|2025|100000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21842,2025,1476000,0,"19 For additional liberty partnerships program 20 awards (21842) ............................... 1,476,000",268,20,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21842|2025|1476000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21831,2025,16332000,0,"21 Unrestricted aid to independent colleges and 22 universities, notwithstanding any other 23 provision of law to the contrary, aid 24 otherwise due and payable in the 2025-26 25 fiscal year shall be limited to the amount 26 appropriated herein; provided that no 27 college or university shall be eligible 28 for a payment in the 2025-26 academic year 29 from this appropriation if the college or 30 university has not submitted to the state 31 education department a plan to improve 32 faculty diversity, which shall include 33 measurable goals and a schedule of report- 34 ing on progress toward meeting such goals. 35 Provided further, notwithstanding any other 36 provision of law to the contrary, no 37 college or university shall be eligible 38 for a payment in the 2025-26 academic year 39 from this appropriation if the college or 40 university has total endowment assets in 41 excess of $750,000,000, based on the most 42 recent academic year data collected in the 43 Integrated Postsecondary Education Data 44 System, as required under Title IV of the 45 Higher Education Act of 1965, as amended, 46 and reported by the Department of 47 Education's National Center for Education 48 Statistics (21831) .......................... 16,332,000",268,48,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21831|2025|16332000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21843,2025,2856000,0,"10 For additional higher education opportunity 11 program awards (21843) ....................... 2,856,000",269,11,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21843|2025|2856000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23437,2025,1272000,0,"19 For additional science and technology entry 20 program (STEP) awards (23437) ................ 1,272,000",269,20,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23437|2025|1272000
