status,match_pass,similarity_score,agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key,exec_match_approp_id,exec_match_chapter_year,exec_match_approp_amount,exec_match_reapprop_amount,exec_match_bill_language,amount_difference
likely_reorganized,fuzzy_text,0.906,DEPARTMENT OF AGRICULTURE AND MARKETS,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21672,2024,5750000,5750000,"40 For marketing, advertising, and retail operations to promote local
41 agritourism and New York produced food and beverage goods and
42 products, including but not limited to up to $125,000 for the City
43 of Geneva, up to $375,000 for the NY Wine and Culinary Center, up to
44 $250,000 for Cornell Cooperative Extension of Broome County, up to
45 $410,000 for the Montgomery County Chapter of NYARC, Inc., up to
46 $385,000 for Cornell Cooperative Extension of Nassau County, up to
47 $350,000 for the Cornell Cooperative Extension of Saratoga County,
48 up to $425,000 for the Cornell Cooperative Extension of Columbia and
49 Greene Counties, up to $425,000 for the Cornell Cooperative Exten-
50 sion of Sullivan County, up to $450,000 for Cornell Cooperative
51 Extension of Erie County, up to $550,000 for the Thousand Islands
52 Bridge Authority for the operation and maintenance of the North
AB
66 12553-09-5
DEPARTMENT OF AGRICULTURE AND MARKETS
AID TO LOCALITIES - REAPPROPRIATIONS 2025-26
1 Country Welcome Center, up to $300,000 for the Cornell Cooperative
2 Extension of Jefferson County, for the retail operation located
3 within the North Country Welcome Center, up to $215,000 for Cornell
4 Cooperative Extension of Cayuga County, and up to $150,000 for the
5 Cornell Cooperative Extension of Dutchess County. At the direction
6 of the director of the budget, all or a portion of this appropri-
7 ation may be suballocated to any department, agency, or public
8 authority or transferred to state operations [(21672)] _(_1_1_4_5_0_) ...
9 5,750,000 ......................................... (re. $5,750,000)",66,40,2025-26,ATL 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|21672|2024|5750000,11450,2024,5750000,4073000,"30 For marketing, advertising, and retail operations to promote local
31 agritourism and New York produced food and beverage goods and
32 products, including but not limited to up to $125,000 for the City
33 of Geneva, up to $375,000 for the NY Wine and Culinary Center, up to
34 $250,000 for Cornell Cooperative Extension of Broome County, up to
35 $410,000 for the Montgomery County Chapter of NYARC, Inc., up to
36 $385,000 for Cornell Cooperative Extension of Nassau County, up to
37 $350,000 for the Cornell Cooperative Extension of Saratoga County,
38 up to $425,000 for the Cornell Cooperative Extension of Columbia and
39 Greene Counties, up to $425,000 for the Cornell Cooperative Exten-
40 sion of Sullivan County, up to $450,000 for Cornell Cooperative
41 Extension of Erie County, up to $550,000 for the Thousand Islands
42 Bridge Authority for the operation and maintenance of the North
43 Country Welcome Center, up to $300,000 for the Cornell Cooperative
44 Extension of Jefferson County, for the retail operation located
45 within the North Country Welcome Center, up to $215,000 for Cornell
46 Cooperative Extension of Cayuga County, and up to $150,000 for the
47 Cornell Cooperative Extension of Dutchess County. At the direction
48 of the director of the budget, all or a portion of this appropri-
49 ation may be suballocated to any department, agency, or public
50 authority or transferred to state operations (11450) .............
51 5,750,000 ......................................... (re. $4,073,000)",-1677000
likely_reorganized,fuzzy_text,0.750,EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23384,2024,1900000,1900000,"34 For additional aid payable in the 2024-25 school year for additional
35 nonpublic school aid to reimburse 2023-24 school year expenses
36 (23384) ... 1,900,000 ............................. (re. $1,900,000)",336,34,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23384|2024|1900000,57012,2024,23000000,1103000,"40 For additional nonpublic school aid to reimburse 2021-22 and 2022-23
41 school year expenses (57012) ... 23,000,000 ....... (re. $1,103,000)",-797000
likely_reorganized,fuzzy_text,0.800,DEPARTMENT OF FAMILY ASSISTANCE,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,60504,2024,100000,100000,"24 For services and expenses of Buffalo Irish Center [(60504)] _(_6_0_6_2_5_)
25 ... 100,000 ......................................... (re. $100,000)",602,24,2025-26,ATL 25-26.pdf,DEPARTMENT OF FAMILY ASSISTANCE|60504|2024|100000,60625,2024,100000,100000,"38 For services and expenses of Buffalo Irish Center (60625) .........
39 100,000 ............................................. (re. $100,000)",0
likely_reorganized,fuzzy_text,0.818,DEPARTMENT OF FAMILY ASSISTANCE,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,15275,2024,125000,125000,"28 For services and expenses of Center for Elder Law and Justice
29 [(15275)] _(_1_5_2_5_1_) ... 125,000 ....................... (re. $125,000)",602,28,2025-26,ATL 25-26.pdf,DEPARTMENT OF FAMILY ASSISTANCE|15275|2024|125000,15251,2024,125000,125000,"42 For services and expenses of Center for Elder Law and Justice
43 (15251) ... 125,000 ................................. (re. $125,000)",0
likely_reorganized,fuzzy_text,0.778,DEPARTMENT OF FAMILY ASSISTANCE,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,15029,2024,500000,500000,"36 For services and expenses of Commonpoint Queens [(15029)] _(_6_0_5_5_3_) ....
37 500,000 ............................................. (re. $500,000)",602,36,2025-26,ATL 25-26.pdf,DEPARTMENT OF FAMILY ASSISTANCE|15029|2024|500000,60553,2024,500000,500000,"50 For services and expenses of Commonpoint Queens (60553) ..............
51 500,000 ............................................. (re. $500,000)",0
likely_reorganized,fuzzy_text,0.867,DEPARTMENT OF FAMILY ASSISTANCE,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,15255,2024,500000,500000,"3 For services and expenses of Metropolitan New York Coordinating Coun-
4 cil on Jewish Poverty [(15255)] _(_6_0_5_7_8_) ............................
5 500,000 ............................................. (re. $500,000)",604,3,2025-26,ATL 25-26.pdf,DEPARTMENT OF FAMILY ASSISTANCE|15255|2024|500000,60578,2024,500000,500000,"48 For services and expenses of Metropolitan New York Coordinating Coun-
49 cil on Jewish Poverty (60578) ......................................
50 500,000 ............................................. (re. $500,000)",0
likely_reorganized,fuzzy_text,0.778,DEPARTMENT OF FAMILY ASSISTANCE,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,15226,2024,650000,650000,"3 For services and expenses of Hispanic Federation [(15226)] _(_1_5_1_3_1_) ...
4 650,000 ............................................. (re. $650,000)",606,3,2025-26,ATL 25-26.pdf,DEPARTMENT OF FAMILY ASSISTANCE|15226|2024|650000,15131,2024,650000,650000,"27 For services and expenses of Hispanic Federation (15131) .............
28 650,000 ............................................. (re. $650,000)",0
likely_reorganized,fuzzy_text,0.800,DEPARTMENT OF FAMILY ASSISTANCE,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,15134,2023,1600000,1600000,"17 For services and expenses of Fresh Air Fund [(15134)] _(_1_5_0_3_4_) ........
18 1,600,000 ......................................... (re. $1,600,000)",627,17,2025-26,ATL 25-26.pdf,DEPARTMENT OF FAMILY ASSISTANCE|15134|2023|1600000,15034,2023,1600000,83000,"47 For services and expenses of Fresh Air Fund (15034) ..................
48 1,600,000 ............................................ (re. $83,000)",-1517000
likely_reorganized,fuzzy_text,0.800,DEPARTMENT OF FAMILY ASSISTANCE,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,15134,2022,1000000,121000,"45 For services and expenses of Fresh Air Fund [(15134)] _(_1_5_0_3_4_) ........
46 1,000,000 ........................................... (re. $121,000)",642,45,2025-26,ATL 25-26.pdf,DEPARTMENT OF FAMILY ASSISTANCE|15134|2022|1000000,15034,2022,1000000,13000,"37 For services and expenses of Fresh Air Fund (15034) ..................
38 1,000,000 ............................................ (re. $13,000)",-108000
likely_reorganized,fuzzy_text,0.789,DEPARTMENT OF HEALTH,AID TO LOCALITIES,general fund,SAMHSA Account - 25170,26823,2023,1912000,162000,"15 For services and expenses of school based health centers. Notwith-
16 standing section 24 of the state finance law or any provision of law
17 to the contrary, funds from this appropriation shall be allocated
18 only pursuant to a plan (i) approved by the temporary president of
19 the senate and the director of the budget which sets forth either an
20 itemized list of grantees with the amount to be received by each, or
21 the methodology for allocating such appropriation, and (ii) which is
22 thereafter included in a senate resolution calling for the expendi-
23 ture of such funds, which resolution must be approved by a majority
24 vote of all members elected to the senate upon a roll call vote
25 (26823) ... 1,912,000 ............................... (re. $162,000)",971,15,2025-26,ATL 25-26.pdf,DEPARTMENT OF HEALTH|26823|2023|1912000,59067,2023,475000,57000,"22 For services and expenses of LGBT Health and Human Service Network
23 Inc. Notwithstanding section 24 of the state finance law or any
24 provision of law to the contrary, funds from this appropriation
25 shall be allocated only pursuant to a plan (i) approved by the
26 temporary president of the senate and the director of the budget
27 which sets forth either an itemized list of grantees with the amount
28 to be received by each, or the methodology for allocating such
29 appropriation, and (ii) which is thereafter included in a senate
30 resolution calling for the expenditure of such funds, which resol-
31 ution must be approved by a majority vote of all members elected to
32 the senate upon a roll call vote (59067) ...........................
33 475,000 .............................................. (re. $57,000)",-105000
likely_reorganized,fuzzy_text,0.917,DEPARTMENT OF STATE,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,51025,2023,500000,500000,"14 By chapter 53, section 1, of the laws of 2023:
15 For services and expenses of Rockland County [(51025)]_(_5_1_3_2_7_) ........
16 500,000 ............................................. (re. $500,000)",1326,14,2025-26,ATL 25-26.pdf,DEPARTMENT OF STATE|51025|2023|500000,51327,2023,500000,500000,"39 By chapter 53, section 1, of the laws of 2023:
40 For services and expenses of Rockland County (51327) .................
41 500,000 ............................................. (re. $500,000)",0
likely_reorganized,fuzzy_text,0.900,NEW YORK STATE URBAN DEVELOPMENT CORPORATION,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,85516,2024,650000,650000,"32 For services and expenses of the Brooklyn Alliance, Inc. _(_8_5_5_1_6_) ....
33 650,000 ............................................. (re. $650,000)",1416,32,2025-26,ATL 25-26.pdf,NEW YORK STATE URBAN DEVELOPMENT CORPORATION|85516|2024|650000,85517,2024,650000,195000,"28 For services and expenses of the Brooklyn Alliance, Inc. (85517) ....
29 650,000 ............................................. (re. $195,000)",-455000
