status,match_pass,similarity_score,agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
missing_id,,,OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,MISSING_ID,2024,100000,100000,"19 For services and expenses of New York Statewide Senior Action Council,
20 Inc ... 100,000 ..................................... (re. $100,000)",23,19.0,2025-26,ATL 25-26.pdf,OFFICE FOR THE AGING|MISSING_ID|2024|100000|100000|23
missing_id,,,OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,MISSING_ID,2024,150000,150000,"36 For services and expenses of Colonie Senior Service Centers ...
37 150,000 ............................................. (re. $150,000)",23,36.0,2025-26,ATL 25-26.pdf,OFFICE FOR THE AGING|MISSING_ID|2024|150000|150000|23
missing_id,,,OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,MISSING_ID,2024,112000,112000,"38 For services and expenses of Guardianship Corp .......................
39 112,000 ............................................. (re. $112,000)",23,38.0,2025-26,ATL 25-26.pdf,OFFICE FOR THE AGING|MISSING_ID|2024|112000|112000|23
missing_id,,,OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,MISSING_ID,2023,1080000,1050000,"27 For additional services and expenses of the Holocaust Survivors Initi-
28 atives. Funds appropriated herein shall not be subject to section
29 112 of the state finance law, section 163 of the state finance law,
30 or section 142 of the economic development law .....................
31 1,080,000 ......................................... (re. $1,050,000)",28,27.0,2025-26,ATL 25-26.pdf,OFFICE FOR THE AGING|MISSING_ID|2023|1080000|1050000|28
missing_id,,,OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,MISSING_ID,2023,2500000,2500000,"37 For additional services and expenses of the long-term care ombudsman
38 program ... 2,500,000 ............................. (re. $2,500,000)",28,37.0,2025-26,ATL 25-26.pdf,OFFICE FOR THE AGING|MISSING_ID|2023|2500000|2500000|28
missing_id,,,OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,MISSING_ID,2023,1000000,1000000,"39 For additional services and expenses for state aid grants to naturally
40 occurring retirement communities (NORC) and neighborhood naturally
41 occurring retirement communities (NNORC). Funding priority shall be
42 given to supplemental allocations to existing contracts for nursing
43 services ... 1,000,000 ............................ (re. $1,000,000)",28,39.0,2025-26,ATL 25-26.pdf,OFFICE FOR THE AGING|MISSING_ID|2023|1000000|1000000|28
missing_id,,,OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,MISSING_ID,2023,375000,18000,"46 For additional services and expenses of Lifespan of Greater Rochester,
47 Inc ... 375,000 ...................................... (re. $18,000)",28,46.0,2025-26,ATL 25-26.pdf,OFFICE FOR THE AGING|MISSING_ID|2023|375000|18000|28
missing_id,,,OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,MISSING_ID,2023,200000,200000,"48 For services and expenses for LiveOn NY ... 200,000 ... (re. $200,000)",28,,2025-26,ATL 25-26.pdf,OFFICE FOR THE AGING|MISSING_ID|2023|200000|200000|28
missing_id,,,OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,MISSING_ID,2023,100000,100000,"49 For services and expenses for New York Statewide Senior Action Coun-
50 cil, Inc ... 100,000 ................................ (re. $100,000)",28,49.0,2025-26,ATL 25-26.pdf,OFFICE FOR THE AGING|MISSING_ID|2023|100000|100000|28
missing_id,,,OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,MISSING_ID,2022,825000,643000,"32 For additional services and expenses for state aid grants to naturally
33 occurring retirement communities (NORC) and neighborhood naturally
34 occurring retirement communities (NNORC). Funding priority shall be
35 given to supplemental allocations to existing contracts for nursing
36 services ... 825,000 ................................ (re. $643,000)",33,32.0,2025-26,ATL 25-26.pdf,OFFICE FOR THE AGING|MISSING_ID|2022|825000|643000|33
missing_id,,,OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,MISSING_ID,2018,75000,50000,"28 For services and expenses of Wayside Out-Reach Development, Inc ...
29 75,000 ............................................... (re. $50,000)",49,28.0,2025-26,ATL 25-26.pdf,OFFICE FOR THE AGING|MISSING_ID|2018|75000|50000|49
missing_id,,,OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,MISSING_ID,2018,75000,75000,"30 For services and expenses of Wayside Out-Reach Development, Inc ...
31 75,000 ............................................... (re. $75,000)",49,30.0,2025-26,ATL 25-26.pdf,OFFICE FOR THE AGING|MISSING_ID|2018|75000|75000|49
missing_id,,,OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,MISSING_ID,2014,86000,22000,"30 By chapter 53, section 1, of the laws of 2014:
31 For additional services and expenses of the New York foundation for
32 senior citizens home sharing and respite care program ..............
33 86,000 ............................................... (re. $22,000)",50,30.0,2025-26,ATL 25-26.pdf,OFFICE FOR THE AGING|MISSING_ID|2014|86000|22000|50
missing_id,,,OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,MISSING_ID,2014,930000,782000,"34 For services and expenses of the office of the aging to implement
35 subdivision 3-d of section 1 of part C of chapter 57 of the laws of
36 2006 as added by a chapter of the laws of 2014 to provide funding
37 for salary increases for the period April 1, 2014 through March 31,
38 2015. Notwithstanding any other provision of law to the contrary,
39 and subject to the approval of the director of the budget, the
40 amounts appropriated herein may be increased or decreased by inter-
41 change or transfer without limit to any local assistance appropri-
42 ation, and may include advances to local governments and voluntary
43 agencies, to accomplish this purpose ... 930,000 .... (re. $782,000)",50,34.0,2025-26,ATL 25-26.pdf,OFFICE FOR THE AGING|MISSING_ID|2014|930000|782000|50
missing_id,,,OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,MISSING_ID,2013,200000,49000,"44 By chapter 53, section 1, of the laws of 2013:
45 For additional services and expenses to providers of social model
46 adult day services ... 200,000 ....................... (re. $49,000)",50,44.0,2025-26,ATL 25-26.pdf,OFFICE FOR THE AGING|MISSING_ID|2013|200000|49000|50
