agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,enacted_page,enacted_line,estimated_exec_page,estimated_exec_line,anchor_method,predecessor_approp_id,predecessor_exec_page,predecessor_exec_line,successor_approp_id,successor_exec_page,successor_exec_line
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10738,2025,350000,0,"21 For services and expenses for Ageless Inno- 22 vation to reduce social isolation (10738) ...... 350,000",12,22.0,16,8.0,both,10737,16.0,4.0,10739,16.0,8.0
OFFICE FOR THE AGING,AID TO LOCALITIES,Special Revenue Funds - Federal,Senior Community Service Employment Account - 25444,81034,2025,980000,0,"10 -------------- 11 Program account subtotal ................... 9,000,000 12 -------------- 13 Special Revenue Funds - Other 14 Combined Expendable Trust Fund 15 Aging Grants and Bequest Account - 20196 16 For services and expenses of the state 17 office for the aging (81034) ................... 980,000",16,17.0,16,28.0,both,10887,31.0,36.0,10318,16.0,28.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10325,2024,118500,118500,"9 For services and expenses of the EAC/Nassau senior respite program
10 (10325) ... 118,500 ................................. (re. $118,500)",20,9.0,18,59.0,both,10324,18.0,57.0,10326,18.0,59.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10342,2024,222000,169000,"3 New York Legal Assistance Group (10342) ... 222,000 ... (re. $169,000)",20,,18,,both,10323,18.0,61.0,10343,18.0,
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10341,2024,354000,354000,"AB
20 12553-09-5
OFFICE FOR THE AGING
AID TO LOCALITIES - REAPPROPRIATIONS 2025-26
1 New York StateWide Senior Action Council, Inc. (10341) ...............
2 354,000 ............................................. (re. $354,000)",20,20.0,19,9.0,both,10333,19.0,4.0,10866,19.0,9.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10735,2024,1000000,128000,"16 For services and expenses related to the development of a state master
17 plan for aging. A portion of this appropriation may be suballocated
18 or transferred to the department of health.
19 Notwithstanding any inconsistent provision of law to the contrary,
20 subject to the approval of the director of the budget, up to
21 $1,000,000 of the amount appropriated herein, may be transferred to
22 state operations (10735) ... 1,000,000 .............. (re. $128,000)",21,16.0,19,42.0,both,10715,19.0,32.0,10716,19.0,42.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10739,2024,200000,200000,"49 For services and expenses related to the expansion of online classes
50 for Self Help, Inc to combat social isolation, improve health and
51 wellness and provide lifelong learning opportunities (10739) .......
52 200,000 ............................................. (re. $200,000)",21,49.0,20,2.0,both,10738,20.0,62.0,10742,20.0,2.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10741,2024,400000,400000,"5 For services and expenses to TRUALTA for caregiver training and
6 supports (10741) ... 400,000 ........................ (re. $400,000)",22,5.0,20,2.0,both,10738,20.0,62.0,10742,20.0,2.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10810,2024,250000,250000,"46 Notwithstanding any inconsistent provision of law, subject to the
47 approval of the director of the budget, up to the amount appropri-
48 ated herein, may be transferred to the general fund state purposes
49 account for services and expenses of the Association on Aging in New
50 York State to provide training, education and technical assistance
51 to the area agencies on aging and aging network service contractor
52 staff for professional development which must include but not be
AB
21 12553-09-5
OFFICE FOR THE AGING
AID TO LOCALITIES - REAPPROPRIATIONS 2025-26
1 limited to developing priority training needs of all aging network
2 staff, submitting an implementation plan for approval by the office
3 for the aging in advance, prioritizing expansion of state certified
4 aging network staff, and developing contracts and vouchers in a
5 timely manner (10810) ... 250,000 ................... (re. $250,000)",21,46.0,20,62.0,both,10736,19.0,59.0,10738,20.0,62.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10737,2024,350000,263000,"43 For services and expenses related to the expansion of online classes
44 for GetSetUp to combat social isolation, improve health and wellness
45 and provide lifelong learning opportunities (10737) ................
46 350,000 ............................................. (re. $263,000)",21,43.0,20,62.0,both,10736,19.0,59.0,10738,20.0,62.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10321,2023,353000,34000,"48 For services and expenses of grants to area agencies on aging for the
49 establishment and operation of caregiver resource centers (10321)
50 ... 353,000 .......................................... (re. $34,000)",25,48.0,21,43.0,both,10318,20.0,13.0,10323,21.0,43.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10740,2024,700000,700000,"AB
22 12553-09-5
OFFICE FOR THE AGING
AID TO LOCALITIES - REAPPROPRIATIONS 2025-26
1 For service and expenses for Intuition Robotics related to accessing
2 digital technology and assisting with accessing affordable internet
3 services for low-income older adults (10740) .......................
4 700,000 ............................................. (re. $700,000)",22,22.0,21,45.0,both,10878,20.0,10.0,10319,21.0,45.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10760,2024,1000000,1000000,"17 For services and expenses, grants or reimbursement of expenses
18 incurred by local government agencies and/or community-based service
19 providers, not-for-profit service providers or their employees
20 providing services for the Project Guardianship Hotline program.
21 Notwithstanding any provision of law to the contrary, funds from
22 this appropriation may be suballocated or transferred to any state
23 department, agency or authority to effectuate the intent of this
24 appropriation with the approval of the temporary president of senate
25 and the director of the budget. Provided further, notwithstanding
26 any provision of law to the contrary, funds from this appropriation
27 shall be allocated only pursuant to a plan (i) approved by the
28 temporary president of the senate and the director of the budget
29 which sets forth either an itemized list of grantees with the amount
30 to be received by each, or the methodology for allocating such
31 appropriation, and (ii) which is thereafter included in a senate
32 resolution calling for the expenditure of such funds, which resol-
33 ution must be approved by a majority vote of all members elected to
34 the senate upon a roll call vote _(_1_0_7_6_0_) ...........................
35 1,000,000 ......................................... (re. $1,000,000)",22,17.0,21,45.0,both,10878,20.0,10.0,10319,21.0,45.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10717,2024,500000,500000,"36 For additional services and expenses of state aid grants to naturally
37 occurring retirement communities (NORC) and neighborhood naturally
38 occurring retirement communities (NNORC). Funding priority shall be
39 given to supplemental allocations to existing contracts _(_1_0_7_1_7_) ....
40 500,000 ............................................. (re. $500,000)",22,36.0,21,45.0,both,10878,20.0,10.0,10319,21.0,45.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10712,2024,350000,350000,"41 For services and expenses, grants or reimbursement of expenses
42 incurred by local government agencies and/or community-based service
43 providers, not-for-profit service providers or their employees
44 providing Holocaust Survivors Initiative programs or service. Funds
45 appropriated herein shall not be subject to section 112 of the state
46 finance law and section 163 of the state finance law _(_1_0_7_1_2_) .......
47 350,000 ............................................. (re. $350,000)",22,41.0,21,45.0,both,10878,20.0,10.0,10319,21.0,45.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10703,2024,1080000,1080000,"48 For services and expenses, grants or reimbursement of expenses
49 incurred by local government agencies and/or community-based service
50 providers, not-for-profit service providers or their employees
51 providing Holocaust Survivors Initiative programs or service. Funds
52 appropriated herein shall not be subject to section 112 of the state
AB
23 12553-09-5
OFFICE FOR THE AGING
AID TO LOCALITIES - REAPPROPRIATIONS 2025-26
1 finance law and section 163 of the state finance law _(_1_0_7_0_3_) .......
2 1,080,000 ......................................... (re. $1,080,000)",23,48.0,21,45.0,both,10878,20.0,10.0,10319,21.0,45.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10759,2024,250000,250000,"3 For services and expenses of the Westchester Residential Opportunities
4 Inc _(_1_0_7_5_9_) ... 250,000 ............................. (re. $250,000)",23,3.0,21,45.0,both,10878,20.0,10.0,10319,21.0,45.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10823,2024,250000,250000,"5 For services and expenses of the Jewish Community Council of Greater
6 Coney Island, Inc _(_1_0_8_2_3_) ... 250,000 ............... (re. $250,000)",23,5.0,21,45.0,both,10878,20.0,10.0,10319,21.0,45.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10830,2024,200000,200000,"7 For services and expenses of Gay, Lesbian, Bisexual and Transgender
8 Elders Inc (SAGE) _(_1_0_8_3_0_) ... 200,000 ............... (re. $200,000)",23,7.0,21,45.0,both,10878,20.0,10.0,10319,21.0,45.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10713,2024,175000,175000,"9 For services and expenses of Center for Elder Law and Justice
10 (Prevention of Elder Abuse) _(_1_0_7_1_3_) ... 175,000 ..... (re. $175,000)",23,9.0,21,45.0,both,10878,20.0,10.0,10319,21.0,45.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10847,2024,250000,250000,"11 For services and expenses of Lifespan of Greater Rochester, Inc
12 _(_1_0_8_4_7_) ... 250,000 ................................. (re. $250,000)",23,11.0,21,45.0,both,10878,20.0,10.0,10319,21.0,45.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10761,2024,115000,115000,"13 For services and expenses of Lenox Hill Neighborhood House Inc _(_1_0_7_6_1_)
14 ... 115,000 ......................................... (re. $115,000)",23,13.0,21,45.0,both,10878,20.0,10.0,10319,21.0,45.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10842,2024,100000,100000,"15 For services and expenses of LiveOn NY _(_1_0_8_4_2_) .......................
16 100,000 ............................................. (re. $100,000)",23,15.0,21,45.0,both,10878,20.0,10.0,10319,21.0,45.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10762,2024,100000,100000,"17 For services and expenses of LiveOn NY _(_1_0_7_6_2_) .......................
18 100,000 ............................................. (re. $100,000)",23,17.0,21,45.0,both,10878,20.0,10.0,10319,21.0,45.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10752,2024,3000000,2979999,"21 For services and expenses, grants in aid, or for contracts with
22 certain municipalities and/or not-for-profit institutions for vari-
23 ous aging initiatives. Notwithstanding section 24 of the state
24 finance law or any provision of law to the contrary, funds from this
25 appropriation shall be allocated only pursuant to a plan (i)
26 approved by the speaker of the Assembly and the director of the
27 budget which sets forth either an itemized list of grantees with the
28 amount to be received by each, or the methodology for allocating
29 such appropriation, and (ii) which is thereafter included in an
30 Assembly resolution calling for the expenditure of such funds, which
31 resolution must be approved by a majority vote of all members
32 elected to the Assembly upon a roll call vote _(_1_0_7_5_2_) ..............
33 3,000,000 ......................................... (re. $2,979,999)",23,21.0,21,45.0,both,10878,20.0,10.0,10319,21.0,45.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10758,2024,700000,700000,"34 For services and expenses of the LISMA Foundation, Inc _(_1_0_7_5_8_) .......
35 700,000 ............................................. (re. $700,000)",23,34.0,21,45.0,both,10878,20.0,10.0,10319,21.0,45.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10721,2024,500000,500000,"40 For additional services and expenses for state aid grants to naturally
41 occurring retirement communities (NORC) and neighborhood naturally
42 occurring retirement communities (NNORC). Funding priority shall be
43 given to supplemental allocations to existing contracts for nursing
44 services _(_1_0_7_2_1_) ... 500,000 ........................ (re. $500,000)",23,40.0,21,45.0,both,10878,20.0,10.0,10319,21.0,45.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10747,2024,50000,50000,"45 For services and expenses of Glen Cove Senior Center _(_1_0_7_4_7_) .........
46 50,000 ............................................... (re. $50,000)",23,45.0,21,45.0,both,10878,20.0,10.0,10319,21.0,45.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10726,2024,50000,27000,"47 For services and expenses for India Home _(_1_0_7_2_6_) .....................
48 50,000 ............................................... (re. $27,000)",23,47.0,21,45.0,both,10878,20.0,10.0,10319,21.0,45.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10849,2024,25000,25000,"49 For services and expenses for Jewish Association for Services for the
50 Aged for the Bay Eden Senior Center _(_1_0_8_4_9_) ........................
51 25,000 ............................................... (re. $25,000)",23,49.0,21,45.0,both,10878,20.0,10.0,10319,21.0,45.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10746,2024,900000,900000,"AB
24 12553-09-5
OFFICE FOR THE AGING
AID TO LOCALITIES - REAPPROPRIATIONS 2025-26
1 For services and expenses for Metropolitan NY Coordinating Council on
2 Jewish Poverty _(_1_0_7_4_6_) ... 900,000 .................. (re. $900,000)",24,24.0,21,45.0,both,10878,20.0,10.0,10319,21.0,45.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10835,2024,200000,200000,"3 For services and expenses of Older Adults Technology Services, Inc
4 _(_1_0_8_3_5_) ... 200,000 ................................. (re. $200,000)",24,3.0,21,45.0,both,10878,20.0,10.0,10319,21.0,45.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10748,2024,112000,86000,"5 For services and expenses for Project Guardianship _(_1_0_7_4_8_) ...........
6 112,000 .............................................. (re. $86,000)",24,5.0,21,45.0,both,10878,20.0,10.0,10319,21.0,45.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10844,2024,200000,200000,"7 For services and expenses of Queens Community House _(_1_0_8_4_4_) ..........
8 200,000 ............................................. (re. $200,000)",24,7.0,21,45.0,both,10878,20.0,10.0,10319,21.0,45.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10852,2024,400000,400000,"9 For services and expenses of Regional Aid for Interim Needs, Inc
10 _(_1_0_8_5_2_) ... 400,000 ................................. (re. $400,000)",24,9.0,21,45.0,both,10878,20.0,10.0,10319,21.0,45.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10701,2024,100000,100000,"11 For services and expenses of the SAGE LGBT Welcoming Elder Housing
12 Program _(_1_0_7_0_1_) ... 100,000 ......................... (re. $100,000)",24,11.0,21,45.0,both,10878,20.0,10.0,10319,21.0,45.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10727,2024,100000,100000,"13 For services and expenses for SelfHelp _(_1_0_7_2_7_) .......................
14 100,000 ............................................. (re. $100,000)",24,13.0,21,45.0,both,10878,20.0,10.0,10319,21.0,45.0
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10827,2024,100000,100000,"15 For services and expenses for Services Now for Adult Persons _(_1_0_8_2_7_)
16 ... 100,000 ........................................ (re. $100,000)",24,15.0,21,45.0,both,10878,20.0,10.0,10319,21.0,45.0
