agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,has_underlined_content,underlined_text,composite_key
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10318,2026,42720564,0,appropriation,5,8.0,2026-27,"reimbursement (10318) ....................... 42,720,564",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10318|2026|42720564|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10319,2026,71197876,0,appropriation,6,9.0,2026-27,"reimbursement (10319) ....................... 71,197,876",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10319|2026|71197876|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10321,2026,353000,0,appropriation,6,13.0,2026-27,"centers (10321) ................................ 353,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10321|2026|353000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10322,2026,42019160,0,appropriation,6,45.0,2026-27,"reimbursement (10322) ....................... 42,019,160",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10322|2026|42019160|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10323,2026,6190000,0,appropriation,6,55.0,2026-27,"aging (10323) ................................ 6,190,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10323|2026|6190000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10328,2026,656000,0,appropriation,7,2.0,2026-27,"distributed by provider (10328) ................ 656,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10328|2026|656000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10329,2026,1072000,0,appropriation,7,11.0,2026-27,"distributed by provider (10329) .............. 1,072,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10329|2026|1072000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10330,2026,8027500,0,appropriation,7,21.0,2026-27,"(10330) ...................................... 8,027,500",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10330|2026|8027500|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10331,2026,8027500,0,appropriation,7,32.0,2026-27,"services (10331) ............................. 8,027,500",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10331|2026|8027500|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10885,2026,1121000,0,appropriation,7,40.0,2026-27,"director of the budget (10885) ............... 1,121,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10885|2026|1121000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10335,2026,1000000,0,appropriation,7,43.0,2026-27,"seling and assistance program (10335) ........ 1,000,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10335|2026|1000000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10336,2026,175000,0,appropriation,7,50.0,2026-27,"grant objectives (10336) ....................... 175,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10336|2026|175000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10340,2026,793000,0,appropriation,8,2.0,2026-27,"Medicare Rights Center (10340) ................... 793,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10340|2026|793000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10341,2026,354000,0,appropriation,8,4.0,2026-27,"Inc. (10341) ................................... 354,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10341|2026|354000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10342,2026,222000,0,appropriation,8,5.0,2026-27,"New York Legal Assistance Group (10342) .......... 222,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10342|2026|222000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10343,2026,111000,0,appropriation,8,6.0,2026-27,"Legal Aid Society of New York (10343) ............ 111,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10343|2026|111000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10345,2026,155000,0,appropriation,8,7.0,2026-27,"Empire Justice Center (10345) .................... 155,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10345|2026|155000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10346,2026,132000,0,appropriation,8,8.0,2026-27,"Community Service Society (10346) ................ 132,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10346|2026|132000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10324,2026,216500,0,appropriation,8,10.0,2026-27,"senior volunteer program (RSVP) (10324) ........ 216,500",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10324|2026|216500|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10325,2026,118500,0,appropriation,8,12.0,2026-27,"senior respite program (10325) ................. 118,500",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10325|2026|118500|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10326,2026,71000,0,appropriation,8,15.0,2026-27,"program (10326) ................................. 71,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10326|2026|71000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10327,2026,86000,0,appropriation,8,18.0,2026-27,"ing and respite care program (10327) ............ 86,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10327|2026|86000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10332,2026,98000,0,appropriation,8,20.0,2026-27,"grandparents program (10332) .................... 98,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10332|2026|98000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10333,2026,745000,0,appropriation,8,24.0,2026-27,"elderly (10333) ................................ 745,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10333|2026|745000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10866,2026,122500,0,appropriation,8,29.0,2026-27,"dents (10866) .................................. 122,500",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10866|2026|122500|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10867,2026,122500,0,appropriation,8,35.0,2026-27,"regarding the quality of services (10867) ...... 122,500",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10867|2026|122500|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10320,2026,403000,0,appropriation,8,43.0,2026-27,"among the counties (10320) ..................... 403,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10320|2026|403000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10334,2026,31500,0,appropriation,8,47.0,2026-27,"project (10334) ................................. 31,500",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10334|2026|31500|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10833,2026,1500000,0,appropriation,8,54.0,2026-27,"reporting (10833) ............................ 1,500,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10833|2026|1500000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10810,2026,250000,0,appropriation,9,11.0,2026-27,"ers in a timely manner (10810) ................. 250,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10810|2026|250000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10715,2026,1000000,0,appropriation,9,26.0,2026-27,"wills (10715) ................................ 1,000,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10715|2026|1000000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10716,2026,53000000,0,appropriation,9,53.0,2026-27,"(10716) ..................................... 53,000,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10716|2026|53000000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10736,2026,250000,0,appropriation,9,56.0,2026-27,"of Lifespan of Greater Rochester (10736) ....... 250,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10736|2026|250000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10737,2026,350000,0,appropriation,9,61.0,2026-27,"opportunities (10737) .......................... 350,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10737|2026|350000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,Special Revenue Funds - Federal,FHHS Aid to Localities Account - 25177,10738,2026,350000,0,appropriation,10,1.0,2026-27,"vation to reduce social isolation (10738) ...... 350,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10738|2026|350000|FHHS AID TO LOCALITIES ACCOUNT - 25177
OFFICE FOR THE AGING,AID TO LOCALITIES,Special Revenue Funds - Federal,FHHS Aid to Localities Account - 25177,10739,2026,200000,0,appropriation,10,6.0,2026-27,"learning opportunities (10739) ................. 200,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10739|2026|200000|FHHS AID TO LOCALITIES ACCOUNT - 25177
OFFICE FOR THE AGING,AID TO LOCALITIES,Special Revenue Funds - Federal,FHHS Aid to Localities Account - 25177,10740,2026,700000,0,appropriation,10,11.0,2026-27,"come older adults (10740) ...................... 700,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10740|2026|700000|FHHS AID TO LOCALITIES ACCOUNT - 25177
OFFICE FOR THE AGING,AID TO LOCALITIES,Special Revenue Funds - Federal,FHHS Aid to Localities Account - 25177,10741,2026,400000,0,appropriation,10,13.0,2026-27,"caregiver training and supports (10741) ........ 400,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10741|2026|400000|FHHS AID TO LOCALITIES ACCOUNT - 25177
OFFICE FOR THE AGING,AID TO LOCALITIES,Special Revenue Funds - Federal,FHHS Aid to Localities Account - 25177,10742,2026,500000,0,appropriation,10,16.0,2026-27,"capacity building (10742) ...................... 500,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10742|2026|500000|FHHS AID TO LOCALITIES ACCOUNT - 25177
OFFICE FOR THE AGING,AID TO LOCALITIES,Special Revenue Funds - Federal,FHHS Aid to Localities Account - 25177,10743,2026,150000,0,appropriation,10,19.0,2026-27,"volunteers (10743) ............................. 150,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10743|2026|150000|FHHS AID TO LOCALITIES ACCOUNT - 25177
OFFICE FOR THE AGING,AID TO LOCALITIES,Special Revenue Funds - Federal,FHHS Aid to Localities Account - 25177,10755,2026,750000,0,appropriation,10,23.0,2026-27,"to ten counties (10755) ........................ 750,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10755|2026|750000|FHHS AID TO LOCALITIES ACCOUNT - 25177
OFFICE FOR THE AGING,AID TO LOCALITIES,Special Revenue Funds - Federal,FHHS Aid to Localities Account - 25177,10894,2026,24069000,0,appropriation,10,35.0,2026-27,"Title III-b social services (10894) ........... 24,069,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10894|2026|24069000|FHHS AID TO LOCALITIES ACCOUNT - 25177
