category,agency,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,account,record_type,page_number,source_budget,composite_key
missing_from_reconstruction,DEPARTMENT OF AGRICULTURE AND MARKETS,21672,2024,5750000,5750000,Local Assistance Account - 10000,reappropriation,66,enacted,DEPARTMENT OF AGRICULTURE AND MARKETS|21672|2024|5750000|LOCAL ASSISTANCE ACCOUNT - 10000
missing_from_reconstruction,EDUCATION DEPARTMENT,23384,2024,1900000,1900000,Local Assistance Account - 10000,reappropriation,336,enacted,EDUCATION DEPARTMENT|23384|2024|1900000|LOCAL ASSISTANCE ACCOUNT - 10000
missing_from_reconstruction,DEPARTMENT OF FAMILY ASSISTANCE,60504,2024,100000,100000,Local Assistance Account - 10000,reappropriation,602,enacted,DEPARTMENT OF FAMILY ASSISTANCE|60504|2024|100000|LOCAL ASSISTANCE ACCOUNT - 10000
missing_from_reconstruction,DEPARTMENT OF FAMILY ASSISTANCE,15275,2024,125000,125000,Local Assistance Account - 10000,reappropriation,602,enacted,DEPARTMENT OF FAMILY ASSISTANCE|15275|2024|125000|LOCAL ASSISTANCE ACCOUNT - 10000
missing_from_reconstruction,DEPARTMENT OF FAMILY ASSISTANCE,15029,2024,135000,135000,Local Assistance Account - 10000,reappropriation,605,enacted,DEPARTMENT OF FAMILY ASSISTANCE|15029|2024|135000|LOCAL ASSISTANCE ACCOUNT - 10000
missing_from_reconstruction,DEPARTMENT OF FAMILY ASSISTANCE,15226,2024,650000,650000,Local Assistance Account - 10000,reappropriation,606,enacted,DEPARTMENT OF FAMILY ASSISTANCE|15226|2024|650000|LOCAL ASSISTANCE ACCOUNT - 10000
missing_from_reconstruction,DEPARTMENT OF FAMILY ASSISTANCE,15255,2024,100000,100000,Local Assistance Account - 10000,reappropriation,606,enacted,DEPARTMENT OF FAMILY ASSISTANCE|15255|2024|100000|LOCAL ASSISTANCE ACCOUNT - 10000
missing_from_reconstruction,DEPARTMENT OF FAMILY ASSISTANCE,15134,2023,1600000,1600000,Local Assistance Account - 10000,reappropriation,627,enacted,DEPARTMENT OF FAMILY ASSISTANCE|15134|2023|1600000|LOCAL ASSISTANCE ACCOUNT - 10000
missing_from_reconstruction,DEPARTMENT OF FAMILY ASSISTANCE,15226,2023,500000,500000,Local Assistance Account - 10000,reappropriation,629,enacted,DEPARTMENT OF FAMILY ASSISTANCE|15226|2023|500000|LOCAL ASSISTANCE ACCOUNT - 10000
missing_from_reconstruction,DEPARTMENT OF FAMILY ASSISTANCE,15134,2022,1000000,121000,Local Assistance Account - 10000,reappropriation,642,enacted,DEPARTMENT OF FAMILY ASSISTANCE|15134|2022|1000000|LOCAL ASSISTANCE ACCOUNT - 10000
missing_from_reconstruction,DEPARTMENT OF HEALTH,26823,2023,1912000,162000,SAMHSA Account - 25170,reappropriation,971,enacted,DEPARTMENT OF HEALTH|26823|2023|1912000|SAMHSA ACCOUNT - 25170
missing_from_reconstruction,DEPARTMENT OF STATE,51025,2023,500000,500000,Local Assistance Account - 10000,reappropriation,1326,enacted,DEPARTMENT OF STATE|51025|2023|500000|LOCAL ASSISTANCE ACCOUNT - 10000
missing_from_reconstruction,NEW YORK STATE URBAN DEVELOPMENT CORPORATION,85516,2024,650000,650000,Local Assistance Account - 10000,reappropriation,1416,enacted,NEW YORK STATE URBAN DEVELOPMENT CORPORATION|85516|2024|650000|LOCAL ASSISTANCE ACCOUNT - 10000
extra_in_reconstruction,OFFICE FOR THE AGING,MISSING_ID,2023,2500000,1962000,Local Assistance Account - 10000,reappropriation,23,executive,OFFICE FOR THE AGING|MISSING_ID|2023|2500000|1962000|23
extra_in_reconstruction,DEPARTMENT OF AGRICULTURE AND MARKETS,11450,2024,5750000,4073000,Local Assistance Account - 10000,reappropriation,44,executive,DEPARTMENT OF AGRICULTURE AND MARKETS|11450|2024|5750000|LOCAL ASSISTANCE ACCOUNT - 10000
extra_in_reconstruction,DEPARTMENT OF AGRICULTURE AND MARKETS,MISSING_ID,2024,100000,100000,Local Assistance Account - 10000,reappropriation,45,executive,DEPARTMENT OF AGRICULTURE AND MARKETS|MISSING_ID|2024|100000|100000|45
extra_in_reconstruction,COUNCIL ON THE ARTS,12122,2022,750000,97000,Local Assistance Account - 10000,reappropriation,70,executive,COUNCIL ON THE ARTS|12122|2022|750000|LOCAL ASSISTANCE ACCOUNT - 10000
extra_in_reconstruction,COUNCIL ON THE ARTS,12122,2021,771000,120000,Local Assistance Account - 10000,reappropriation,70,executive,COUNCIL ON THE ARTS|12122|2021|771000|LOCAL ASSISTANCE ACCOUNT - 10000
extra_in_reconstruction,DIVISION OF CRIMINAL JUSTICE SERVICES,60208,2024,100000,100000,Local Assistance Account - 10000,reappropriation,115,executive,DIVISION OF CRIMINAL JUSTICE SERVICES|60208|2024|100000|LOCAL ASSISTANCE ACCOUNT - 10000
extra_in_reconstruction,DEPARTMENT OF ECONOMIC DEVELOPMENT,21677,2024,2474995,1030000,Local Assistance Account - 10000,reappropriation,166,executive,DEPARTMENT OF ECONOMIC DEVELOPMENT|21677|2024|2474995|LOCAL ASSISTANCE ACCOUNT - 10000
extra_in_reconstruction,DEPARTMENT OF ECONOMIC DEVELOPMENT,21678,2024,1470340,1373000,Local Assistance Account - 10000,reappropriation,168,executive,DEPARTMENT OF ECONOMIC DEVELOPMENT|21678|2024|1470340|LOCAL ASSISTANCE ACCOUNT - 10000
extra_in_reconstruction,DEPARTMENT OF ECONOMIC DEVELOPMENT,21282,2024,1000000,1000000,Local Assistance Account - 10000,reappropriation,183,executive,DEPARTMENT OF ECONOMIC DEVELOPMENT|21282|2024|1000000|LOCAL ASSISTANCE ACCOUNT - 10000
extra_in_reconstruction,EDUCATION DEPARTMENT,57015,2024,10000000,10000000,Federal Department of Education Account - 25210,reappropriation,250,executive,EDUCATION DEPARTMENT|57015|2024|10000000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
