agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
DEPARTMENT OF AGRICULTURE AND MARKETS,CAPITAL PROJECTS,Capital Projects Fund,State Fair Capital Improvement Account - 32208,10300,2018,2500000,1000,"31 By chapter 54, section 1, of the laws of 2018:
32 For services and expenses related to New York Works Infrastructure
33 projects for alterations, rehabilitation and improvements at the
34 state fair, including personal service and the payment of liabil-
35 ities incurred prior to April 1, 2018. All or a portion of the funds
36 appropriated hereby may be suballocated or transferred to any
37 department, agency or public authority (60NY1803) (10300) ..........
38 2,500,000 ............................................. (re. $1,000)",26,31.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10300|2018|2500000
CITY UNIVERSITY OF NEW YORK,CAPITAL PROJECTS,Capital Projects Fund,State Fair Capital Improvement Account - 32208,15528,2025,26650000,0,"35 12554-09-5 CITY UNIVERSITY OF NEW YORK (APPROPRIATED TO THE CITY UNIVERSITY CONSTRUCTION FUND) SENIOR COLLEGES CAPITAL PROJECTS 2025-26 1 a portion of the amounts hereby appropri- 2 ated may be suballocated or transferred to 3 the dormitory authority of the state of 4 New York for such purpose (30IN2508) ....... 133,000,000 5 PROJECT ADMINISTRATION (CCP) ................................ 45,030,000 6 -------------- 7 Capital Projects Funds - Other 8 Capital Projects Fund - 30000 9 Administration Purpose 10 For payment to the dormitory authority of 11 the state of New York, for services and 12 expenses of the authority related to 13 construction activities administered by 14 the authority for the state share of capi- 15 tal projects of the city university of New 16 York which are appropriated by the state 17 and otherwise authorized by law (30DA2550) 18 (15528) ..................................... 26,650,000",35,18.0,2025-26,CAP 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15528|2025|26650000
CITY UNIVERSITY OF NEW YORK,CAPITAL PROJECTS,Capital Projects Fund,State Fair Capital Improvement Account - 32208,40800,2025,18380000,0,"19 For payment to the city university 20 construction fund, for services and 21 expenses of the city university 22 construction fund related to construction 23 activities administered by the city 24 university construction fund for the state 25 share of capital projects of the city 26 university of New York which are appropri- 27 ated by the state and otherwise authorized 28 by law (30CF2550) (40800) ................... 18,380,000",35,28.0,2025-26,CAP 25-26.pdf,CITY UNIVERSITY OF NEW YORK|40800|2025|18380000
CITY UNIVERSITY OF NEW YORK,CAPITAL PROJECTS,Capital Projects Fund,State Fair Capital Improvement Account - 32208,15529,2006,235500000,12000,"20 By chapter 53, section 1, of the laws of 2006, as amended by chapter 54,
21 section 1, of the laws of 2018:
22 An additional advance for alterations and improvements to various
23 facilities including services and expenses, service contracts, memo-
24 randum of understanding, capital design, construction, acquisition,
25 reconstruction, rehabilitation and equipment; for health and safety,
26 preservation of facilities, new facilities, program improvement or
27 program change, technology, environmental protection, energy conser-
28 vation, accreditation, facilities for the physically disabled and
29 related projects including costs incurred prior to April 1, 2006
30 subject to an annual plan developed by the city university of New
31 York which shall include projects in the following schedule.
32 Notwithstanding any other law to the contrary, all or a portion of
33 the amounts hereby appropriated may be suballocated or transferred
34 to the dormitory authority of the state of New York for such purpose
35 (30670650) (15529) ... 235,500,000 ................... (re. $12,000)",66,20.0,2025-26,CAP 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15529|2006|235500000
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81107,2023,109242000,41563000,"13 By chapter 54, section 1, of the laws of 2023:
14 For the maintenance and operation of various facilities and systems
15 including personal services, fringe benefits and indirect costs.
16 Notwithstanding any other law to the contrary, all or a portion of
17 the funds appropriated herein may be suballocated or transferred to
18 any department, agency, or public authority (10FM23MO) (81107) .....
19 109,242,000 ...................................... (re. $41,563,000)",121,13.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81107|2023|109242000
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81028,2011,16000000,3000,"41 By chapter 54, section 1, of the laws of 2011:
42 Alterations and improvements, including related departmental adminis-
43 trative costs, for health and safety including liabilities incurred
AB
125 12554-09-5
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 prior to April 1, 2011 (10011101) (81028) ..........................
2 16,000,000 ............................................ (re. $3,000)",125,41.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81028|2011|16000000
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81028,2009,16000000,3000,"3 By chapter 50, section 1, of the laws of 2009:
4 Alterations and improvements, including related departmental adminis-
5 trative costs, for health and safety including liabilities incurred
6 prior to April 1, 2009 (10010901) (81028) ..........................
7 16,000,000 ............................................ (re. $3,000)",125,3.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81028|2009|16000000
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81028,2007,20000000,2000,"8 By chapter 50, section 1, of the laws of 2007:
9 Alterations and improvements, including related departmental adminis-
10 trative costs, for health and safety including liabilities incurred
11 prior to April 1, 2007 (10010701) (81028) ..........................
12 20,000,000 ............................................ (re. $2,000)",125,8.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81028|2007|20000000
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81028,2005,30000000,1000,"13 By chapter 50, section 1, of the laws of 2005:
14 Alterations and improvements, including related departmental adminis-
15 trative costs, for health and safety including liabilities incurred
16 prior to April 1, 2005 (10010501) (81028) ..........................
17 30,000,000 ............................................ (re. $1,000)",125,13.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81028|2005|30000000
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81028,2004,30000000,4000,"18 By chapter 50, section 1, of the laws of 2004:
19 Alterations and improvements, including related departmental adminis-
20 trative costs, for health and safety including liabilities incurred
21 prior to April 1, 2004 (10010401) (81028) ..........................
22 30,000,000 ............................................ (re. $4,000)",125,18.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81028|2004|30000000
