agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
CITY UNIVERSITY OF NEW YORK,CAPITAL PROJECTS,Capital Projects Fund,State Fair Capital Improvement Account - 32208,15528,2025,26650000,0,"35 12554-09-5 CITY UNIVERSITY OF NEW YORK (APPROPRIATED TO THE CITY UNIVERSITY CONSTRUCTION FUND) SENIOR COLLEGES CAPITAL PROJECTS 2025-26 1 a portion of the amounts hereby appropri- 2 ated may be suballocated or transferred to 3 the dormitory authority of the state of 4 New York for such purpose (30IN2508) ....... 133,000,000 5 PROJECT ADMINISTRATION (CCP) ................................ 45,030,000 6 -------------- 7 Capital Projects Funds - Other 8 Capital Projects Fund - 30000 9 Administration Purpose 10 For payment to the dormitory authority of 11 the state of New York, for services and 12 expenses of the authority related to 13 construction activities administered by 14 the authority for the state share of capi- 15 tal projects of the city university of New 16 York which are appropriated by the state 17 and otherwise authorized by law (30DA2550) 18 (15528) ..................................... 26,650,000",35,18,2025-26,CAP 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15528|2025|26650000
CITY UNIVERSITY OF NEW YORK,CAPITAL PROJECTS,Capital Projects Fund,State Fair Capital Improvement Account - 32208,40800,2025,18380000,0,"19 For payment to the city university 20 construction fund, for services and 21 expenses of the city university 22 construction fund related to construction 23 activities administered by the city 24 university construction fund for the state 25 share of capital projects of the city 26 university of New York which are appropri- 27 ated by the state and otherwise authorized 28 by law (30CF2550) (40800) ................... 18,380,000",35,28,2025-26,CAP 25-26.pdf,CITY UNIVERSITY OF NEW YORK|40800|2025|18380000
DEPARTMENT OF HEALTH,CAPITAL PROJECTS,Capital Projects Fund,Department of Social Services Account - 31853,26624,2025,10000000,0,"440 12554-09-5 DEPARTMENT OF HEALTH CAPITAL PROJECTS 2025-26 1 For the comprehensive construction programs, purposes and 2 projects as herein specified in accordance with the 3 following: 4 APPROPRIATIONS REAPPROPRIATIONS 5 Capital Projects Funds - Other ..... 1,238,170,000 5,419,896,000 6 Capital Projects Funds - Federal ... 322,500,000 1,082,874,000 7 ---------------- ---------------- 8 All Funds ........................ 1,560,670,000 6,502,770,000 9 ================ ================ 10 ALL PAYERS CLAIMS DATABASE (CCP) ............................ 10,000,000 11 -------------- 12 Capital Projects Funds - Other 13 Capital Projects Fund - 30000 14 Program Improvement/Change Purpose 15 For grants, services and expenses related to 16 the establishment, support, and adminis- 17 tration of an all payers claim database, 18 including but not limited to technology, 19 equipment, software, personal service, 20 fringe benefits, and indirect costs. For 21 purposes of the program, all such activ- 22 ities are deemed to constitute a capital 23 expenditure. No expenditures related to 24 this appropriation shall be made without a 25 plan, prepared by the commissioner of 26 health and approved by the director of the 27 budget, detailing sufficient resources are 28 available to support such expenditures 29 (12AP2508) (26624) .......................... 10,000,000",440,29,2025-26,CAP 25-26.pdf,DEPARTMENT OF HEALTH|26624|2025|10000000
DEPARTMENT OF HEALTH,CAPITAL PROJECTS,Capital Projects Fund,Health Care IT Capital Account - 32216,26628,2025,35000000,0,"19 STATEWIDE HEALTH INFORMATION NETWORK FOR NEW YORK (CCP) ..... 35,000,000 20 -------------- 21 Capital Projects Funds - Other 22 Capital Projects Fund - 30000 23 Program Improvement/Change Purpose 24 For grants, services and expenses including 25 contracts for the New York eHealth Colla- 26 borative for the purpose of supporting and 27 administering the statewide health infor- 28 mation network for New York, including but 29 not limited to qualified entities certi- 30 fied by the department, technology, equip- 31 ment, software, personal service, fringe 32 benefits, and indirect costs. For purposes 33 of the program, all such activities are 34 deemed to constitute a capital expendi- 35 ture. Provided, however, that two million 36 five hundred thousand dollars shall be 37 used for modernizing health reporting 38 systems. No expenditures related to this 39 appropriation shall be made without a 40 plan, prepared by the commissioner of 41 health and approved by the director of the 42 budget, detailing sufficient resources are 43 available to support such expenditures. 44 Use of such funds shall not be subject to 45 the requirements of section 163 of the 46 state finance law. (12SH2508) (26628) ....... 35,000,000",444,46,2025-26,CAP 25-26.pdf,DEPARTMENT OF HEALTH|26628|2025|35000000
STATE UNIVERSITY OF NEW YORK,CAPITAL PROJECTS,Capital Projects Fund,Equitable Sharing-DSP - Justice Account - 32220,81107,2025,234643000,0,"701 12554-09-5 STATE UNIVERSITY OF NEW YORK (APPROPRIATED TO THE STATE UNIVERSITY CONSTRUCTION FUND) CAPITAL PROJECTS 2025-26 1 For the comprehensive construction programs, purposes and 2 projects as herein specified in accordance with the 3 following: 4 APPROPRIATIONS REAPPROPRIATIONS 5 Capital Projects Funds - Other ..... 2,481,116,000 5,887,087,000 6 Capital Projects Fund - Federal .... 5,000,000 0 7 ---------------- ---------------- 8 All Funds ........................ 2,486,116,000 5,887,087,000 9 ================ ================ 10 FACILITIES MAINTENANCE AND OPERATIONS (CCP) ................ 234,643,000 11 -------------- 12 Capital Projects Funds - Other 13 Capital Projects Fund - 30000 14 Maintenance and Operations Purpose 15 For the maintenance and operation of various 16 facilities and systems including personal 17 services, fringe benefits and indirect 18 costs. Notwithstanding any other law to 19 the contrary, all or a portion of the 20 funds appropriated herein may be suballo- 21 cated or transferred to any department, 22 agency, or public authority (28FM25MO) 23 (81107) .................................... 234,643,000",701,23,2025-26,CAP 25-26.pdf,STATE UNIVERSITY OF NEW YORK|81107|2025|234643000
STATE UNIVERSITY OF NEW YORK,CAPITAL PROJECTS,Capital Projects Fund,SUNY Federal Capital Projects Account - 31382,45904,2025,31007000,0,"707 12554-09-5 STATE UNIVERSITY OF NEW YORK (APPROPRIATED TO THE STATE UNIVERSITY CONSTRUCTION FUND) CAPITAL PROJECTS 2025-26 1 Capital Projects Fund - 30000 2 Administration Purpose 3 For payment to the state university 4 construction fund, for services and 5 expenses of the state university 6 construction fund including payments for 7 personal service, fringe benefits charges, 8 supplies and materials, contractual 9 services, equipment, travel expenses, 10 indirect costs and liabilities incurred 11 prior to April 1, 2025 (28SF2550) (45904) ... 31,007,000",707,11,2025-26,CAP 25-26.pdf,STATE UNIVERSITY OF NEW YORK|45904|2025|31007000
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Aviation Purpose Account - 30053,50000,2025,186718000,0,"26 Capital Projects Funds - Other 27 Dedicated Highway and Bridge Trust Fund 28 Highway and Bridge Capital Account - 30051 29 Highway Maintenance Purpose 30 For the payment of costs, including the 31 payment of liabilities incurred prior to 32 April 1, 2025, of preventive maintenance 33 on state roads and bridges as defined in 34 paragraph (a) of subdivision 1 of section 35 10-d of the highway law, and snow and ice 36 control on state highways, including 37 personal services, nonpersonal services, 38 fringe benefits and contractual services 39 provided by private firms and munici- 40 palities, but not including the costs of 41 heavy equipment (53260). 42 Personal service (170125HM) (50000) .......... 186,718,000",847,42,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|50000|2025|186718000
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,50000,2025,48261000,0,"24 Capital Projects Funds - Other 25 Dedicated Highway and Bridge Trust Fund 26 Highway and Bridge Capital Account - 30051 27 Preparation of Plans Purpose 28 Capital Project Management and Traffic and Safety 29 For capital project management and traffic 30 and safety, including personal services, 31 nonpersonal services, fringe benefits, and 32 the contract services provided by private 33 firms (53263). 34 Personal service (17P12530) (50000) ........... 48,261,000",849,34,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|50000|2025|48261000
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,50000,2025,37183000,0,"850 12554-09-5 DEPARTMENT OF TRANSPORTATION CAPITAL PROJECTS 2025-26 1 appropriation for the budget division 2 program of the division of the budget, are 3 deemed fully incorporated herein and a 4 part of this appropriation as if fully 5 stated (53262). 6 Personal service (17A12530) (50000) ........... 37,183,000",850,6,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|50000|2025|37183000
DEPARTMENT OF TRANSPORTATION,CAPITAL PROJECTS,Capital Projects Fund,Highway and Bridge Capital Account - 30051,57050,2025,232965000,0,"36 For the costs of the contract services 37 provided by private firms including, but 38 not limited to, the preparation of 39 designs, plans, specifications and esti- 40 mates; construction management and super- 41 vision; and appraisals, surveys, testing, 42 and environmental impact statements for 43 transportation projects (53105). 44 Nonpersonal service (17EP2530) (57050) ....... 232,965,000",850,44,2025-26,CAP 25-26.pdf,DEPARTMENT OF TRANSPORTATION|57050|2025|232965000
