agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,composite_key
ADIRONDACK PARK AGENCY,CAPITAL PROJECTS,Capital Projects Fund,Unknown,81010,2025,10000000,0,appropriation,5,21.0,2025-26,"(81010) ..................................... 10,000,000",CAP 25-26.pdf,ADIRONDACK PARK AGENCY|81010|2025|10000000
ADIRONDACK PARK AGENCY,CAPITAL PROJECTS,Capital Projects Fund,Miscellaneous Gifts Account - 20100,81010,2022,29000000,29000000,reappropriation,6,5.0,2025-26,"10 29,000,000 ....................................... (re. $29,000,000)",CAP 25-26.pdf,ADIRONDACK PARK AGENCY|81010|2022|29000000
ADIRONDACK PARK AGENCY,CAPITAL PROJECTS,Capital Projects Fund,Miscellaneous Gifts Account - 20100,81010,2020,1000000,1000000,reappropriation,6,11.0,2025-26,"15 1,000,000 ......................................... (re. $1,000,000)",CAP 25-26.pdf,ADIRONDACK PARK AGENCY|81010|2020|1000000
ADIRONDACK PARK AGENCY,CAPITAL PROJECTS,Capital Projects Fund,Miscellaneous Gifts Account - 20100,81010,2012,500000,500000,reappropriation,6,20.0,2025-26,"24 500,000 ............................................. (re. $500,000)",CAP 25-26.pdf,ADIRONDACK PARK AGENCY|81010|2012|500000
ADIRONDACK PARK AGENCY,CAPITAL PROJECTS,Capital Projects Fund,Miscellaneous Gifts Account - 20100,81010,2011,500000,500000,reappropriation,6,25.0,2025-26,"29 500,000 ............................................. (re. $500,000)",CAP 25-26.pdf,ADIRONDACK PARK AGENCY|81010|2011|500000
ADIRONDACK PARK AGENCY,CAPITAL PROJECTS,Capital Projects Fund,Miscellaneous Gifts Account - 20100,81010,2010,500000,500000,reappropriation,6,30.0,2025-26,"34 500,000 ............................................. (re. $500,000)",CAP 25-26.pdf,ADIRONDACK PARK AGENCY|81010|2010|500000
DEPARTMENT OF AGRICULTURE AND MARKETS,CAPITAL PROJECTS,Capital Projects Fund,Miscellaneous Gifts Account - 20100,11433,2025,5000000,0,appropriation,8,2.0,2025-26,"costs (60AS2503) (11433) ..................... 5,000,000",CAP 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|11433|2025|5000000
DEPARTMENT OF AGRICULTURE AND MARKETS,CAPITAL PROJECTS,Capital Projects Fund,Miscellaneous Gifts Account - 20100,11399,2025,5000000,0,appropriation,8,37.0,2025-26,"costs (60CA2503) (11399) ..................... 5,000,000",CAP 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|11399|2025|5000000
DEPARTMENT OF AGRICULTURE AND MARKETS,CAPITAL PROJECTS,Capital Projects Fund,Miscellaneous Gifts Account - 20100,11345,2025,10000000,0,appropriation,8,49.0,2025-26,"(60SK2507) (11345) .......................... 10,000,000",CAP 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|11345|2025|10000000
DEPARTMENT OF AGRICULTURE AND MARKETS,CAPITAL PROJECTS,Capital Projects Fund,Miscellaneous Gifts Account - 20100,11326,2025,3200000,0,appropriation,9,4.0,2025-26,"(11326) ...................................... 3,200,000",CAP 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|11326|2025|3200000
