agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,composite_key
ADIRONDACK PARK AGENCY,CAPITAL PROJECTS,Capital Projects Fund,Miscellaneous Gifts Account - 20100,81010,2025,10000000,10000000,reappropriation,4,19.0,2026-27,"24 10,000,000 ....................................... (re. $10,000,000)",CAP 26-27 Executive.pdf,ADIRONDACK PARK AGENCY|81010|2025|10000000
ADIRONDACK PARK AGENCY,CAPITAL PROJECTS,Capital Projects Fund,Miscellaneous Gifts Account - 20100,81010,2022,29000000,29000000,reappropriation,4,26.0,2026-27,"31 29,000,000 ....................................... (re. $29,000,000)",CAP 26-27 Executive.pdf,ADIRONDACK PARK AGENCY|81010|2022|29000000
ADIRONDACK PARK AGENCY,CAPITAL PROJECTS,Capital Projects Fund,Miscellaneous Gifts Account - 20100,81010,2020,1000000,1000000,reappropriation,4,33.0,2026-27,"37 1,000,000 ......................................... (re. $1,000,000)",CAP 26-27 Executive.pdf,ADIRONDACK PARK AGENCY|81010|2020|1000000
ADIRONDACK PARK AGENCY,CAPITAL PROJECTS,Capital Projects Fund,Miscellaneous Gifts Account - 20100,81010,2012,500000,500000,reappropriation,4,44.0,2026-27,"48 500,000 ............................................. (re. $500,000)",CAP 26-27 Executive.pdf,ADIRONDACK PARK AGENCY|81010|2012|500000
ADIRONDACK PARK AGENCY,CAPITAL PROJECTS,Capital Projects Fund,Miscellaneous Gifts Account - 20100,81010,2011,500000,500000,reappropriation,4,50.0,2026-27,"54 500,000 ............................................. (re. $500,000)",CAP 26-27 Executive.pdf,ADIRONDACK PARK AGENCY|81010|2011|500000
ADIRONDACK PARK AGENCY,CAPITAL PROJECTS,Capital Projects Fund,Miscellaneous Gifts Account - 20100,81010,2010,500000,500000,reappropriation,4,56.0,2026-27,"60 500,000 ............................................. (re. $500,000)",CAP 26-27 Executive.pdf,ADIRONDACK PARK AGENCY|81010|2010|500000
DEPARTMENT OF AGRICULTURE AND MARKETS,CAPITAL PROJECTS,Capital Projects Fund,Miscellaneous Gifts Account - 20100,11433,2026,5000000,0,appropriation,5,53.0,2026-27,"costs (60AS2603) (11433) ..................... 5,000,000",CAP 26-27 Executive.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|11433|2026|5000000
DEPARTMENT OF AGRICULTURE AND MARKETS,CAPITAL PROJECTS,Capital Projects Fund,Miscellaneous Gifts Account - 20100,11345,2026,10000000,0,appropriation,6,3.0,2026-27,"(60SK2607) (11345) .......................... 10,000,000",CAP 26-27 Executive.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|11345|2026|10000000
DEPARTMENT OF AGRICULTURE AND MARKETS,CAPITAL PROJECTS,Capital Projects Fund,Miscellaneous Gifts Account - 20100,11326,2026,3200000,0,appropriation,6,9.0,2026-27,"(60AB2607)(11326) ............................ 3,200,000",CAP 26-27 Executive.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|11326|2026|3200000
DEPARTMENT OF AGRICULTURE AND MARKETS,CAPITAL PROJECTS,Capital Projects Fund,Miscellaneous Gifts Account - 20100,11360,2026,15000000,0,appropriation,6,28.0,2026-27,"program (60122609) (11360) .................. 15,000,000",CAP 26-27 Executive.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|11360|2026|15000000
