status,match_pass,similarity_score,agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
discontinued,,,DEPARTMENT OF AGRICULTURE AND MARKETS,CAPITAL PROJECTS,Capital Projects Fund,State Fair Capital Improvement Account - 32208,10300,2018,2500000,1000,"31 By chapter 54, section 1, of the laws of 2018:
32 For services and expenses related to New York Works Infrastructure
33 projects for alterations, rehabilitation and improvements at the
34 state fair, including personal service and the payment of liabil-
35 ities incurred prior to April 1, 2018. All or a portion of the funds
36 appropriated hereby may be suballocated or transferred to any
37 department, agency or public authority (60NY1803) (10300) ..........
38 2,500,000 ............................................. (re. $1,000)",26,31.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10300|2018|2500000|STATE FAIR CAPITAL IMPROVEMENT ACCOUNT - 32208
discontinued,,,DEPARTMENT OF AGRICULTURE AND MARKETS,CAPITAL PROJECTS,Capital Projects Fund,State Fair Capital Improvement Account - 32208,11493,2024,1700000,1636000,"5 By chapter 54, section 1, of the laws of 2024:
6 For payment of the costs including personal services, nonpersonal
7 services, fringe benefits and indirect costs, of alterations, reha-
8 bilitation and improvements including preventive maintenance,
9 replacement, refurbishment and energy conservation of various facil-
10 ities, including the payment of liabilities incurred prior to April
11 1, 2024 (60MN2403) (11493) ... 1,700,000 .......... (re. $1,636,000)",27,5.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|11493|2024|1700000|STATE FAIR CAPITAL IMPROVEMENT ACCOUNT - 32208
discontinued,,,DEPARTMENT OF AGRICULTURE AND MARKETS,CAPITAL PROJECTS,Capital Projects Fund,State Fair Capital Improvement Account - 32208,11493,2023,1700000,1000,"12 By chapter 54, section 1, of the laws of 2023:
13 For payment of the costs including personal services, nonpersonal
14 services, fringe benefits and indirect costs, of alterations, reha-
15 bilitation and improvements including preventive maintenance,
16 replacement, refurbishment and energy conservation of various facil-
17 ities, including the payment of liabilities incurred prior to April
18 1, 2023 (60MN2303) (11493) ... 1,700,000 .............. (re. $1,000)",27,12.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|11493|2023|1700000|STATE FAIR CAPITAL IMPROVEMENT ACCOUNT - 32208
discontinued,,,CITY UNIVERSITY OF NEW YORK,CAPITAL PROJECTS,Capital Projects Fund,State Fair Capital Improvement Account - 32208,15528,2025,26650000,0,"35 12554-09-5 CITY UNIVERSITY OF NEW YORK (APPROPRIATED TO THE CITY UNIVERSITY CONSTRUCTION FUND) SENIOR COLLEGES CAPITAL PROJECTS 2025-26 1 a portion of the amounts hereby appropri- 2 ated may be suballocated or transferred to 3 the dormitory authority of the state of 4 New York for such purpose (30IN2508) ....... 133,000,000 5 PROJECT ADMINISTRATION (CCP) ................................ 45,030,000 6 -------------- 7 Capital Projects Funds - Other 8 Capital Projects Fund - 30000 9 Administration Purpose 10 For payment to the dormitory authority of 11 the state of New York, for services and 12 expenses of the authority related to 13 construction activities administered by 14 the authority for the state share of capi- 15 tal projects of the city university of New 16 York which are appropriated by the state 17 and otherwise authorized by law (30DA2550) 18 (15528) ..................................... 26,650,000",35,18.0,2025-26,CAP 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15528|2025|26650000|STATE FAIR CAPITAL IMPROVEMENT ACCOUNT - 32208
discontinued,,,CITY UNIVERSITY OF NEW YORK,CAPITAL PROJECTS,Capital Projects Fund,State Fair Capital Improvement Account - 32208,40800,2025,18380000,0,"19 For payment to the city university 20 construction fund, for services and 21 expenses of the city university 22 construction fund related to construction 23 activities administered by the city 24 university construction fund for the state 25 share of capital projects of the city 26 university of New York which are appropri- 27 ated by the state and otherwise authorized 28 by law (30CF2550) (40800) ................... 18,380,000",35,28.0,2025-26,CAP 25-26.pdf,CITY UNIVERSITY OF NEW YORK|40800|2025|18380000|STATE FAIR CAPITAL IMPROVEMENT ACCOUNT - 32208
discontinued,,,CITY UNIVERSITY OF NEW YORK,CAPITAL PROJECTS,Capital Projects Fund,State Fair Capital Improvement Account - 32208,15420,2016,103000000,528000,"21 By chapter 55, section 1, of the laws of 2016, as amended by chapter 54,
22 section 1, of the laws of 2018:
23 For services and expenses related to alterations and improvements to
24 existing facilities for capital maintenance, including but not
25 limited to capital design, construction, reconstruction, rehabili-
26 tation, and equipment; for health and safety, preservation of facil-
27 ities, program improvement or program change, environmental
28 protection, energy conservation, accreditation, facilities for the
29 physically disabled, preventative maintenance and related projects,
30 including costs incurred prior to April 1, 2016 and subject to a
31 plan developed and submitted annually by the city university of New
32 York and approved by the director of the budget, and which may
33 include, but not be limited to, projects in the following schedule.
34 Notwithstanding any other law to the contrary, all or a portion of
35 the amounts hereby appropriated may be suballocated or transferred
36 to the dormitory authority of the state of New York for such purpose
37 (30031650) (15420) ... 103,000,000 .................. (re. $528,000)",40,21.0,2025-26,CAP 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15420|2016|103000000|STATE FAIR CAPITAL IMPROVEMENT ACCOUNT - 32208
discontinued,,,CITY UNIVERSITY OF NEW YORK,CAPITAL PROJECTS,Capital Projects Fund,State Fair Capital Improvement Account - 32208,15420,2008,284222000,1097000,"1 By chapter 53, section 1, of the laws of 2008, as amended by chapter 54,
2 section 1, of the laws of 2018:
3 Advances for alterations and improvements to various facilities for
4 capital critical maintenance, including but not limited to capital
5 design, construction, acquisition, reconstruction, rehabilitation,
6 and equipment; for health and safety, preservation of facilities,
7 program improvement or program change, environmental protection,
8 energy conservation, accreditation, facilities for the physically
9 disabled, preventative maintenance and related projects, including
10 costs incurred prior to April 1, 2008, and subject to a plan devel-
11 oped and submitted annually by the city university of New York and
12 approved by the director of the budget, and which may include, but
13 not be limited to, projects in the following schedule. Notwith-
14 standing any other law to the contrary, all or a portion of the
15 amounts hereby appropriated may be suballocated or transferred to
16 the dormitory authority of the state of New York for such purpose
17 (30010850) (15420) ... 284,222,000 ................ (re. $1,097,000)",60,1.0,2025-26,CAP 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15420|2008|284222000|STATE FAIR CAPITAL IMPROVEMENT ACCOUNT - 32208
discontinued,,,CITY UNIVERSITY OF NEW YORK,CAPITAL PROJECTS,Capital Projects Fund,State Fair Capital Improvement Account - 32208,15529,2006,235500000,12000,"20 By chapter 53, section 1, of the laws of 2006, as amended by chapter 54,
21 section 1, of the laws of 2018:
22 An additional advance for alterations and improvements to various
23 facilities including services and expenses, service contracts, memo-
24 randum of understanding, capital design, construction, acquisition,
25 reconstruction, rehabilitation and equipment; for health and safety,
26 preservation of facilities, new facilities, program improvement or
27 program change, technology, environmental protection, energy conser-
28 vation, accreditation, facilities for the physically disabled and
29 related projects including costs incurred prior to April 1, 2006
30 subject to an annual plan developed by the city university of New
31 York which shall include projects in the following schedule.
32 Notwithstanding any other law to the contrary, all or a portion of
33 the amounts hereby appropriated may be suballocated or transferred
34 to the dormitory authority of the state of New York for such purpose
35 (30670650) (15529) ... 235,500,000 ................... (re. $12,000)",66,20.0,2025-26,CAP 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15529|2006|235500000|STATE FAIR CAPITAL IMPROVEMENT ACCOUNT - 32208
discontinued,,,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81107,2023,109242000,41563000,"13 By chapter 54, section 1, of the laws of 2023:
14 For the maintenance and operation of various facilities and systems
15 including personal services, fringe benefits and indirect costs.
16 Notwithstanding any other law to the contrary, all or a portion of
17 the funds appropriated herein may be suballocated or transferred to
18 any department, agency, or public authority (10FM23MO) (81107) .....
19 109,242,000 ...................................... (re. $41,563,000)",121,13.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81107|2023|109242000|DOCS REHABILITATION PROJECTS ACCOUNT - 32352
discontinued,,,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81065,2022,16000000,1000,"1 By chapter 54, section 1, of the laws of 2022:
2 For the preparation and review of plans, specifications, estimates,
3 studies, plant evaluations, inspections, appraisals and surveys, and
4 legal claims relating to existing or proposed facilities of the
5 department of corrections and community supervision, and payment of
6 personal service and nonpersonal service, including fringe benefits,
7 related to the administration and security of capital projects
8 provided by the department of corrections and community supervision
9 for new and reappropriated projects (10502250) (81065) .............
10 16,000,000 ............................................ (re. $1,000)",122,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81065|2022|16000000|DOCS REHABILITATION PROJECTS ACCOUNT - 32352
