category,agency,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,account,record_type,page_number,source_budget,composite_key
extra_in_reconstruction,DIVISION OF CRIMINAL JUSTICE SERVICES,60175,2022,50000000,21391000,DOCS Rehabilitation Projects Account - 32352,reappropriation,116,executive,DIVISION OF CRIMINAL JUSTICE SERVICES|60175|2022|50000000|DOCS REHABILITATION PROJECTS ACCOUNT - 32352
extra_in_reconstruction,EDUCATION DEPARTMENT,23456,2002,5000000,4410000,DOCS Rehabilitation Projects Account - 32352,reappropriation,123,executive,EDUCATION DEPARTMENT|23456|2002|5000000|DOCS REHABILITATION PROJECTS ACCOUNT - 32352
extra_in_reconstruction,EDUCATION DEPARTMENT,MISSING_ID,2019,20000000,7583000,Office of the Professions Electronic Licensing Account - 32222,reappropriation,130,executive,EDUCATION DEPARTMENT|MISSING_ID|2019|20000000|7583000|130
extra_in_reconstruction,DEPARTMENT OF ENVIRONMENTAL CONSERVATION,24700,2011,12000000,5500000,Recreation and Historic Preservation Account - 30453,reappropriation,246,executive,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24700|2011|12000000|RECREATION AND HISTORIC PRESERVATION ACCOUNT - 30453
extra_in_reconstruction,DEPARTMENT OF ENVIRONMENTAL CONSERVATION,24718,2024,2000000,1155000,Habitat Conservation and Access Account - 32217,reappropriation,280,executive,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24718|2024|2000000|HABITAT CONSERVATION AND ACCESS ACCOUNT - 32217
extra_in_reconstruction,DEPARTMENT OF ENVIRONMENTAL CONSERVATION,24861,2017,500000,500000,Pure Waters Bond Fund Account - 30620,reappropriation,295,executive,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24861|2017|500000|PURE WATERS BOND FUND ACCOUNT - 30620
extra_in_reconstruction,DEPARTMENT OF ENVIRONMENTAL CONSERVATION,24861,2013,1000000,140000,Pure Waters Bond Fund Account - 30620,reappropriation,295,executive,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24861|2013|1000000|PURE WATERS BOND FUND ACCOUNT - 30620
extra_in_reconstruction,DEPARTMENT OF ENVIRONMENTAL CONSERVATION,24868,2024,20000000,20000000,Pure Waters Bond Fund Account - 30620,reappropriation,296,executive,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24868|2024|20000000|PURE WATERS BOND FUND ACCOUNT - 30620
extra_in_reconstruction,DEPARTMENT OF ENVIRONMENTAL CONSERVATION,24868,2023,20000000,20000000,Pure Waters Bond Fund Account - 30620,reappropriation,297,executive,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24868|2023|20000000|PURE WATERS BOND FUND ACCOUNT - 30620
extra_in_reconstruction,DEPARTMENT OF ENVIRONMENTAL CONSERVATION,24868,2022,20000000,20000000,Pure Waters Bond Fund Account - 30620,reappropriation,297,executive,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24868|2022|20000000|PURE WATERS BOND FUND ACCOUNT - 30620
extra_in_reconstruction,DEPARTMENT OF ENVIRONMENTAL CONSERVATION,24868,2021,20000000,13842000,Pure Waters Bond Fund Account - 30620,reappropriation,298,executive,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24868|2021|20000000|PURE WATERS BOND FUND ACCOUNT - 30620
extra_in_reconstruction,DEPARTMENT OF ENVIRONMENTAL CONSERVATION,24868,2020,20000000,9981000,Pure Waters Bond Fund Account - 30620,reappropriation,298,executive,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24868|2020|20000000|PURE WATERS BOND FUND ACCOUNT - 30620
extra_in_reconstruction,DEPARTMENT OF ENVIRONMENTAL CONSERVATION,24868,2019,20000000,1194000,Pure Waters Bond Fund Account - 30620,reappropriation,298,executive,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24868|2019|20000000|PURE WATERS BOND FUND ACCOUNT - 30620
extra_in_reconstruction,DEPARTMENT OF ENVIRONMENTAL CONSERVATION,24868,2018,16000000,290000,Pure Waters Bond Fund Account - 30620,reappropriation,299,executive,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24868|2018|16000000|PURE WATERS BOND FUND ACCOUNT - 30620
extra_in_reconstruction,DEPARTMENT OF ENVIRONMENTAL CONSERVATION,24868,2017,16000000,3935000,Pure Waters Bond Fund Account - 30620,reappropriation,299,executive,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24868|2017|16000000|PURE WATERS BOND FUND ACCOUNT - 30620
extra_in_reconstruction,DEPARTMENT OF ENVIRONMENTAL CONSERVATION,24868,2016,8000000,2494000,Pure Waters Bond Fund Account - 30620,reappropriation,300,executive,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24868|2016|8000000|PURE WATERS BOND FUND ACCOUNT - 30620
extra_in_reconstruction,DEPARTMENT OF ENVIRONMENTAL CONSERVATION,24868,2015,8000000,574000,Pure Waters Bond Fund Account - 30620,reappropriation,300,executive,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24868|2015|8000000|PURE WATERS BOND FUND ACCOUNT - 30620
extra_in_reconstruction,DEPARTMENT OF ENVIRONMENTAL CONSERVATION,24868,2008,10000000,28000,Pure Waters Bond Fund Account - 30620,reappropriation,300,executive,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24868|2008|10000000|PURE WATERS BOND FUND ACCOUNT - 30620
extra_in_reconstruction,DEPARTMENT OF ENVIRONMENTAL CONSERVATION,24865,2006,25000000,360000,Pure Waters Bond Fund Account - 30620,reappropriation,300,executive,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24865|2006|25000000|PURE WATERS BOND FUND ACCOUNT - 30620
extra_in_reconstruction,DEPARTMENT OF ENVIRONMENTAL CONSERVATION,24868,2004,30000000,196000,Environmental Restoration Projects Account - 31504,reappropriation,301,executive,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24868|2004|30000000|ENVIRONMENTAL RESTORATION PROJECTS ACCOUNT - 31504
extra_in_reconstruction,DEPARTMENT OF ENVIRONMENTAL CONSERVATION,24868,1999,60000000,918000,Environmental Restoration Projects Account - 31504,reappropriation,301,executive,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24868|1999|60000000|ENVIRONMENTAL RESTORATION PROJECTS ACCOUNT - 31504
