agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
ADIRONDACK PARK AGENCY,STATE OPERATIONS,General Fund,State Purposes Account - 10050,50100,2025,6500000,0,"5 12550-10-5 ADIRONDACK PARK AGENCY STATE OPERATIONS 2025-26 1 For payment according to the following schedule: 2 APPROPRIATIONS REAPPROPRIATIONS 3 General Fund ....................... 8,200,000 0 4 ---------------- ---------------- 5 All Funds ........................ 8,200,000 0 6 ================ ================ 7 SCHEDULE 8 ADMINISTRATION PROGRAM ........................................8,200,000 9 -------------- 10 General Fund 11 State Purposes Account - 10050 12 For services and expenses related to the 13 administration program. 14 Notwithstanding any other provision of law 15 to the contrary, the OGS Interchange and 16 Transfer Authority and the IT Interchange 17 and Transfer Authority as defined in the 18 2025-26 state fiscal year state operations 19 appropriation for the budget division 20 program of the division of the budget, are 21 deemed fully incorporated herein and a 22 part of this appropriation as if fully 23 stated (81001). 24 Personal service--regular (50100) .............. 6,500,000",5,24,2025-26,STOPS 25-26.pdf,ADIRONDACK PARK AGENCY|50100|2025|6500000
ADIRONDACK PARK AGENCY,STATE OPERATIONS,General Fund,State Purposes Account - 10050,50200,2025,100000,0,"25 Temporary service (50200) ........................ 100,000",5,25,2025-26,STOPS 25-26.pdf,ADIRONDACK PARK AGENCY|50200|2025|100000
ADIRONDACK PARK AGENCY,STATE OPERATIONS,General Fund,State Purposes Account - 10050,57000,2025,121000,0,"26 Supplies and materials (57000) ................... 121,000",5,26,2025-26,STOPS 25-26.pdf,ADIRONDACK PARK AGENCY|57000|2025|121000
ADIRONDACK PARK AGENCY,STATE OPERATIONS,General Fund,State Purposes Account - 10050,54000,2025,51000,0,"27 Travel (54000) .................................... 51,000",5,27,2025-26,STOPS 25-26.pdf,ADIRONDACK PARK AGENCY|54000|2025|51000
ADIRONDACK PARK AGENCY,STATE OPERATIONS,General Fund,State Purposes Account - 10050,51000,2025,603000,0,"28 Contractual services (51000) ..................... 603,000",5,28,2025-26,STOPS 25-26.pdf,ADIRONDACK PARK AGENCY|51000|2025|603000
ADIRONDACK PARK AGENCY,STATE OPERATIONS,General Fund,State Purposes Account - 10050,56000,2025,825000,0,"29 Equipment (56000) ................................ 825,000",5,29,2025-26,STOPS 25-26.pdf,ADIRONDACK PARK AGENCY|56000|2025|825000
OFFICE FOR THE AGING,STATE OPERATIONS,General Fund,State Purposes Account - 10050,50100,2025,2580000,0,"6 12550-10-5 OFFICE FOR THE AGING STATE OPERATIONS 2025-26 1 For payment according to the following schedule: 2 APPROPRIATIONS REAPPROPRIATIONS 3 General Fund ....................... 2,714,400 0 4 Special Revenue Funds - Federal .... 13,558,000 27,968,000 5 Special Revenue Funds - Other ...... 250,000 0 6 Enterprise Funds ................... 100,000 0 7 ---------------- ---------------- 8 All Funds ........................ 16,622,400 27,968,000 9 ================ ================ 10 SCHEDULE 11 ADMINISTRATION AND GRANTS MANAGEMENT PROGRAM ................ 16,622,400 12 -------------- 13 General Fund 14 State Purposes Account - 10050 15 For services and expenses related to the 16 administration and grants management 17 program (10310). 18 Personal service--regular (50100) .............. 2,580,000",6,18,2025-26,STOPS 25-26.pdf,OFFICE FOR THE AGING|50100|2025|2580000
OFFICE FOR THE AGING,STATE OPERATIONS,General Fund,State Purposes Account - 10050,57000,2025,42000,0,"19 Supplies and materials (57000) .................... 42,000",6,19,2025-26,STOPS 25-26.pdf,OFFICE FOR THE AGING|57000|2025|42000
OFFICE FOR THE AGING,STATE OPERATIONS,General Fund,State Purposes Account - 10050,54000,2025,30100,0,"20 Travel (54000) .................................... 30,100",6,20,2025-26,STOPS 25-26.pdf,OFFICE FOR THE AGING|54000|2025|30100
OFFICE FOR THE AGING,STATE OPERATIONS,General Fund,State Purposes Account - 10050,51000,2025,54100,0,"21 Contractual services (51000) ...................... 54,100",6,21,2025-26,STOPS 25-26.pdf,OFFICE FOR THE AGING|51000|2025|54100
OFFICE FOR THE AGING,STATE OPERATIONS,General Fund,State Purposes Account - 10050,56000,2025,8200,0,"22 Equipment (56000) .................................. 8,200",6,22,2025-26,STOPS 25-26.pdf,OFFICE FOR THE AGING|56000|2025|8200
OFFICE FOR THE AGING,STATE OPERATIONS,General Fund,State Purposes Account - 10050,50000,2025,9416000,0,"23 -------------- 24 Program account subtotal ................... 2,714,400 25 -------------- 26 Special Revenue Funds - Federal 27 Federal Health and Human Services Fund 28 FHHS State Operations Account - 25177 29 For programs provided under the titles of 30 the federal older Americans act and other 31 health and human services programs 32 (10311). 33 Personal service (50000) ....................... 9,416,000",6,33,2025-26,STOPS 25-26.pdf,OFFICE FOR THE AGING|50000|2025|9416000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,Senior Community Service Employment Account - 25444,50000,2025,960000,0,"7 12550-10-5 OFFICE FOR THE AGING STATE OPERATIONS 2025-26 1 For services and expenses related to the 2 provision of aging services programs 3 (10877). 4 Personal service (50000) ......................... 960,000",7,4,2025-26,STOPS 25-26.pdf,OFFICE FOR THE AGING|50000|2025|960000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,Senior Community Service Employment Account - 25444,57050,2025,240000,0,"5 Nonpersonal service (57050) ...................... 240,000",7,5,2025-26,STOPS 25-26.pdf,OFFICE FOR THE AGING|57050|2025|240000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,Senior Community Service Employment Account - 25444,50000,2025,343000,0,"6 -------------- 7 Program account subtotal ................... 1,200,000 8 -------------- 9 Special Revenue Funds - Federal 10 Federal Miscellaneous Operating Grants Fund 11 Senior Community Service Employment Account - 25444 12 For the senior community service employment 13 program provided under title V of the 14 federal older Americans act (10314). 15 Personal service (50000) ......................... 343,000",7,15,2025-26,STOPS 25-26.pdf,OFFICE FOR THE AGING|50000|2025|343000
