agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,81001,2024,9900000,5873000,"4 By chapter 50, section 1, of the laws of 2024:
5 For services and expenses related to the administration program.
6 Notwithstanding any other provision of law to the contrary, the OGS
7 Interchange and Transfer Authority, and the IT Interchange and
8 Transfer Authority as defined in the 2024-25 state fiscal year state
9 operations appropriation for the budget division program of the
10 division of the budget, are deemed fully incorporated herein and a
11 part of this appropriation as if fully stated (81001).
12 Personal service--regular (50100) ... 9,900,000 ..... (re. $5,873,000)",20,4.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|81001|2024|9900000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,50200,2024,62000,36000,"13 Temporary service (50200) ... 62,000 ................... (re. $36,000)",20,,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|50200|2024|62000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,50300,2024,46000,43000,"14 Holiday/overtime compensation (50300) ... 46,000 ....... (re. $43,000)",20,,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|50300|2024|46000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,57000,2024,186000,186000,"15 Supplies and materials (57000) ... 186,000 ............ (re. $186,000)",20,,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|57000|2024|186000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,54000,2024,247000,241000,"16 Travel (54000) ... 247,000 ............................ (re. $241,000)",20,,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|54000|2024|247000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,51000,2024,1974000,955000,"17 Contractual services (51000) ... 1,974,000 ............ (re. $955,000)",20,,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|51000|2024|1974000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,56000,2024,38000,38000,"18 Equipment (56000) ... 38,000 ........................... (re. $38,000)",20,,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|56000|2024|38000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,10901,2024,19935000,9793000,"22 By chapter 50, section 1, of the laws of 2024:
23 For services and expenses related to the agricultural business
24 services program.
25 Notwithstanding any other provision of law to the contrary, the OGS
26 Interchange and Transfer Authority, and the IT Interchange and
27 Transfer Authority as defined in the 2024-25 state fiscal year state
28 operations appropriation for the budget division program of the
29 division of the budget, are deemed fully incorporated herein and a
30 part of this appropriation as if fully stated (10901).
31 Personal service--regular (50100) ... 19,935,000 .... (re. $9,793,000)",20,22.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2024|19935000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,50200,2024,610000,268000,"32 Temporary service (50200) ... 610,000 ................. (re. $268,000)",20,,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|50200|2024|610000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,57000,2024,650000,611000,"33 Supplies and materials (57000) ... 650,000 ............ (re. $611,000)",20,,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|57000|2024|650000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,54000,2024,195000,156000,"34 Travel (54000) ... 195,000 ............................ (re. $156,000)",20,,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|54000|2024|195000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,51000,2024,2552000,2537000,"35 Contractual services (51000) ... 2,552,000 .......... (re. $2,537,000)",20,,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|51000|2024|2552000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,56000,2024,19000,19000,"36 Equipment (56000) ... 19,000 ........................... (re. $19,000)",20,,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|56000|2024|19000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Food and Nutrition Services Account - 25021,10911,2020,762000,137000,"37 By chapter 50, section 1, of the laws of 2020:
38 For services and expenses related to federal food and nutrition
39 services including suballocation to other state departments and
40 agencies. Notwithstanding section 51 of the state finance law and
41 any other provision of law to the contrary, the funds appropriated
42 herein may be increased or decreased by transfer between state oper-
43 ations and aid to localities and from/to appropriations for any
44 prior or subsequent grant period within the same federal
45 fund/program to accomplish the intent of this appropriation, as long
46 as such corresponding prior/subsequent grant periods within such
47 appropriations have been reappropriated as necessary (10911).
48 Personal service (50000) ... 762,000 .................. (re. $137,000)",22,37.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10911|2020|762000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Food and Nutrition Services Account - 25021,57050,2020,6275000,1667000,"49 Nonpersonal service (57050) ... 6,275,000 ........... (re. $1,667,000)",22,,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|57050|2020|6275000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Miscellaneous Federal Operating Grants Account - 25006,60090,2020,476000,105000,"23 12550-10-5
DEPARTMENT OF AGRICULTURE AND MARKETS
STATE OPERATIONS - REAPPROPRIATIONS 2025-26
1 Fringe benefits (60090) ... 476,000 ................... (re. $105,000)",23,23.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|60090|2020|476000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Miscellaneous Federal Operating Grants Account - 25006,58850,2020,1290000,1039000,"2 Indirect costs (58850) ... 1,290,000 ................ (re. $1,039,000)",23,,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|58850|2020|1290000
