agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,composite_key
ADIRONDACK PARK AGENCY,STATE OPERATIONS,General Fund,State Purposes Account - 10050,50100,2025,6500000,0,appropriation,5,24.0,2025-26,"Personal service--regular (50100) .............. 6,500,000",STOPS 25-26.pdf,ADIRONDACK PARK AGENCY|50100|2025|6500000
ADIRONDACK PARK AGENCY,STATE OPERATIONS,General Fund,State Purposes Account - 10050,50200,2025,100000,0,appropriation,5,25.0,2025-26,"Temporary service (50200) ........................ 100,000",STOPS 25-26.pdf,ADIRONDACK PARK AGENCY|50200|2025|100000
ADIRONDACK PARK AGENCY,STATE OPERATIONS,General Fund,State Purposes Account - 10050,57000,2025,121000,0,appropriation,5,26.0,2025-26,"Supplies and materials (57000) ................... 121,000",STOPS 25-26.pdf,ADIRONDACK PARK AGENCY|57000|2025|121000
ADIRONDACK PARK AGENCY,STATE OPERATIONS,General Fund,State Purposes Account - 10050,54000,2025,51000,0,appropriation,5,27.0,2025-26,"Travel (54000) .................................... 51,000",STOPS 25-26.pdf,ADIRONDACK PARK AGENCY|54000|2025|51000
ADIRONDACK PARK AGENCY,STATE OPERATIONS,General Fund,State Purposes Account - 10050,51000,2025,603000,0,appropriation,5,28.0,2025-26,"Contractual services (51000) ..................... 603,000",STOPS 25-26.pdf,ADIRONDACK PARK AGENCY|51000|2025|603000
ADIRONDACK PARK AGENCY,STATE OPERATIONS,General Fund,State Purposes Account - 10050,56000,2025,825000,0,appropriation,5,29.0,2025-26,"Equipment (56000) ................................ 825,000",STOPS 25-26.pdf,ADIRONDACK PARK AGENCY|56000|2025|825000
OFFICE FOR THE AGING,STATE OPERATIONS,General Fund,State Purposes Account - 10050,50100,2025,2580000,0,appropriation,6,18.0,2025-26,"Personal service--regular (50100) .............. 2,580,000",STOPS 25-26.pdf,OFFICE FOR THE AGING|50100|2025|2580000
OFFICE FOR THE AGING,STATE OPERATIONS,General Fund,State Purposes Account - 10050,57000,2025,42000,0,appropriation,6,19.0,2025-26,"Supplies and materials (57000) .................... 42,000",STOPS 25-26.pdf,OFFICE FOR THE AGING|57000|2025|42000
OFFICE FOR THE AGING,STATE OPERATIONS,General Fund,State Purposes Account - 10050,54000,2025,30100,0,appropriation,6,20.0,2025-26,"Travel (54000) .................................... 30,100",STOPS 25-26.pdf,OFFICE FOR THE AGING|54000|2025|30100
OFFICE FOR THE AGING,STATE OPERATIONS,General Fund,State Purposes Account - 10050,51000,2025,54100,0,appropriation,6,21.0,2025-26,"Contractual services (51000) ...................... 54,100",STOPS 25-26.pdf,OFFICE FOR THE AGING|51000|2025|54100
OFFICE FOR THE AGING,STATE OPERATIONS,General Fund,State Purposes Account - 10050,56000,2025,8200,0,appropriation,6,22.0,2025-26,"Equipment (56000) .................................. 8,200",STOPS 25-26.pdf,OFFICE FOR THE AGING|56000|2025|8200
OFFICE FOR THE AGING,STATE OPERATIONS,General Fund,State Purposes Account - 10050,50000,2025,9416000,0,appropriation,6,33.0,2025-26,"Personal service (50000) ....................... 9,416,000",STOPS 25-26.pdf,OFFICE FOR THE AGING|50000|2025|9416000
OFFICE FOR THE AGING,STATE OPERATIONS,General Fund,State Purposes Account - 10050,57050,2025,2549000,0,appropriation,6,34.0,2025-26,"Nonpersonal service (57050) .................... 2,549,000",STOPS 25-26.pdf,OFFICE FOR THE AGING|57050|2025|2549000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,Senior Community Service Employment Account - 25444,50000,2025,960000,0,appropriation,7,4.0,2025-26,"Personal service (50000) ......................... 960,000",STOPS 25-26.pdf,OFFICE FOR THE AGING|50000|2025|960000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,Senior Community Service Employment Account - 25444,57050,2025,240000,0,appropriation,7,5.0,2025-26,"Nonpersonal service (57050) ...................... 240,000",STOPS 25-26.pdf,OFFICE FOR THE AGING|57050|2025|240000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,Senior Community Service Employment Account - 25444,50000,2025,343000,0,appropriation,7,15.0,2025-26,"Personal service (50000) ......................... 343,000",STOPS 25-26.pdf,OFFICE FOR THE AGING|50000|2025|343000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,Senior Community Service Employment Account - 25444,57050,2025,50000,0,appropriation,7,16.0,2025-26,"Nonpersonal service (57050) ....................... 50,000",STOPS 25-26.pdf,OFFICE FOR THE AGING|57050|2025|50000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,Senior Community Service Employment Account - 25444,57000,2025,50000,0,appropriation,7,25.0,2025-26,"Supplies and materials (57000) .................... 50,000",STOPS 25-26.pdf,OFFICE FOR THE AGING|57000|2025|50000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,Senior Community Service Employment Account - 25444,54000,2025,50000,0,appropriation,7,26.0,2025-26,"Travel (54000) .................................... 50,000",STOPS 25-26.pdf,OFFICE FOR THE AGING|54000|2025|50000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,Senior Community Service Employment Account - 25444,51000,2025,150000,0,appropriation,7,27.0,2025-26,"Contractual services (51000) ..................... 150,000",STOPS 25-26.pdf,OFFICE FOR THE AGING|51000|2025|150000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,Senior Community Service Employment Account - 25444,51000,2025,100000,0,appropriation,7,36.0,2025-26,"Contractual services (51000) ..................... 100,000",STOPS 25-26.pdf,OFFICE FOR THE AGING|51000|2025|100000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,10311,2024,9416000,9416000,reappropriation,8,5.0,2025-26,"8 Personal service (50000) ... 9,416,000 .............. (re. $9,416,000)",STOPS 25-26.pdf,OFFICE FOR THE AGING|10311|2024|9416000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,57050,2024,2549000,2549000,reappropriation,8,,2025-26,"9 Nonpersonal service (57050) ... 2,549,000 ........... (re. $2,549,000)",STOPS 25-26.pdf,OFFICE FOR THE AGING|57050|2024|2549000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,10311,2023,6422000,6422000,reappropriation,8,10.0,2025-26,"13 Personal service (50000) ... 6,422,000 .............. (re. $6,422,000)",STOPS 25-26.pdf,OFFICE FOR THE AGING|10311|2023|6422000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,57050,2023,1739000,1739000,reappropriation,8,,2025-26,"14 Nonpersonal service (57050) ... 1,739,000 ........... (re. $1,739,000)",STOPS 25-26.pdf,OFFICE FOR THE AGING|57050|2023|1739000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,10311,2022,6422000,5891000,reappropriation,8,15.0,2025-26,"18 Personal service (50000) ... 6,422,000 .............. (re. $5,891,000)",STOPS 25-26.pdf,OFFICE FOR THE AGING|10311|2022|6422000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,57050,2022,1739000,1419000,reappropriation,8,,2025-26,"19 Nonpersonal service (57050) ... 1,739,000 ........... (re. $1,419,000)",STOPS 25-26.pdf,OFFICE FOR THE AGING|57050|2022|1739000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,10314,2024,343000,343000,reappropriation,8,23.0,2025-26,"26 Personal service (50000) ... 343,000 .................. (re. $343,000)",STOPS 25-26.pdf,OFFICE FOR THE AGING|10314|2024|343000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,57050,2024,50000,50000,reappropriation,8,,2025-26,"27 Nonpersonal service (57050) ... 50,000 ................. (re. $50,000)",STOPS 25-26.pdf,OFFICE FOR THE AGING|57050|2024|50000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,10314,2022,343000,89000,reappropriation,8,28.0,2025-26,"31 Personal service (50000) ... 343,000 ................... (re. $89,000)",STOPS 25-26.pdf,OFFICE FOR THE AGING|10314|2022|343000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,57050,2022,50000,50000,reappropriation,8,,2025-26,"32 Nonpersonal service (57050) ... 50,000 ................. (re. $50,000)",STOPS 25-26.pdf,OFFICE FOR THE AGING|57050|2022|50000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,50100,2025,10400000,0,appropriation,9,28.0,2025-26,"Personal service--regular (50100) ............. 10,400,000",STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|50100|2025|10400000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,50200,2025,62000,0,appropriation,9,29.0,2025-26,"Temporary service (50200) ......................... 62,000",STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|50200|2025|62000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,50300,2025,46000,0,appropriation,9,30.0,2025-26,"Holiday/overtime compensation (50300) ............. 46,000",STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|50300|2025|46000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,57000,2025,301000,0,appropriation,9,31.0,2025-26,"Supplies and materials (57000) ................... 301,000",STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|57000|2025|301000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,54000,2025,399000,0,appropriation,9,32.0,2025-26,"Travel (54000) ................................... 399,000",STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|54000|2025|399000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,51000,2025,3186000,0,appropriation,9,33.0,2025-26,"Contractual services (51000) ................... 3,186,000",STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|51000|2025|3186000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,56000,2025,62000,0,appropriation,9,34.0,2025-26,"Equipment (56000) ................................. 62,000",STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|56000|2025|62000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Food and Nutrition Services Account - 25021,50100,2025,25000000,0,appropriation,10,11.0,2025-26,"Personal service--regular (50100) ............. 25,000,000",STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|50100|2025|25000000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Food and Nutrition Services Account - 25021,50200,2025,610000,0,appropriation,10,12.0,2025-26,"Temporary service (50200) ........................ 610,000",STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|50200|2025|610000
