agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,composite_key
ADIRONDACK PARK AGENCY,STATE OPERATIONS,General Fund,State Purposes Account - 10050,50100,2026,6500000,0,appropriation,5,31.0,2026-27,"Personal service--regular (50100) .............. 6,500,000",STOPS 26-27 Executive.pdf,ADIRONDACK PARK AGENCY|50100|2026|6500000
ADIRONDACK PARK AGENCY,STATE OPERATIONS,General Fund,State Purposes Account - 10050,50200,2026,100000,0,appropriation,5,32.0,2026-27,"Temporary service (50200) ........................ 100,000",STOPS 26-27 Executive.pdf,ADIRONDACK PARK AGENCY|50200|2026|100000
ADIRONDACK PARK AGENCY,STATE OPERATIONS,General Fund,State Purposes Account - 10050,57000,2026,171000,0,appropriation,5,33.0,2026-27,"Supplies and materials (57000) ................... 171,000",STOPS 26-27 Executive.pdf,ADIRONDACK PARK AGENCY|57000|2026|171000
ADIRONDACK PARK AGENCY,STATE OPERATIONS,General Fund,State Purposes Account - 10050,54000,2026,51000,0,appropriation,5,34.0,2026-27,"Travel (54000) .................................... 51,000",STOPS 26-27 Executive.pdf,ADIRONDACK PARK AGENCY|54000|2026|51000
ADIRONDACK PARK AGENCY,STATE OPERATIONS,General Fund,State Purposes Account - 10050,51000,2026,703000,0,appropriation,5,35.0,2026-27,"Contractual services (51000) ..................... 703,000",STOPS 26-27 Executive.pdf,ADIRONDACK PARK AGENCY|51000|2026|703000
ADIRONDACK PARK AGENCY,STATE OPERATIONS,General Fund,State Purposes Account - 10050,56000,2026,925000,0,appropriation,5,36.0,2026-27,"Equipment (56000) ................................ 925,000",STOPS 26-27 Executive.pdf,ADIRONDACK PARK AGENCY|56000|2026|925000
OFFICE FOR THE AGING,STATE OPERATIONS,General Fund,State Purposes Account - 10050,50100,2026,2580000,0,appropriation,6,25.0,2026-27,"Personal service--regular (50100) .............. 2,580,000",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|50100|2026|2580000
OFFICE FOR THE AGING,STATE OPERATIONS,General Fund,State Purposes Account - 10050,57000,2026,42000,0,appropriation,6,26.0,2026-27,"Supplies and materials (57000) .................... 42,000",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|57000|2026|42000
OFFICE FOR THE AGING,STATE OPERATIONS,General Fund,State Purposes Account - 10050,54000,2026,30100,0,appropriation,6,27.0,2026-27,"Travel (54000) .................................... 30,100",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|54000|2026|30100
OFFICE FOR THE AGING,STATE OPERATIONS,General Fund,State Purposes Account - 10050,51000,2026,54100,0,appropriation,6,28.0,2026-27,"Contractual services (51000) ...................... 54,100",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|51000|2026|54100
OFFICE FOR THE AGING,STATE OPERATIONS,General Fund,State Purposes Account - 10050,56000,2026,8200,0,appropriation,6,29.0,2026-27,"Equipment (56000) .................................. 8,200",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|56000|2026|8200
OFFICE FOR THE AGING,STATE OPERATIONS,General Fund,State Purposes Account - 10050,50000,2026,9416000,0,appropriation,6,43.0,2026-27,"Personal service (50000) ....................... 9,416,000",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|50000|2026|9416000
OFFICE FOR THE AGING,STATE OPERATIONS,General Fund,State Purposes Account - 10050,57050,2026,2549000,0,appropriation,6,44.0,2026-27,"Nonpersonal service (57050) .................... 2,549,000",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|57050|2026|2549000
OFFICE FOR THE AGING,STATE OPERATIONS,General Fund,State Purposes Account - 10050,50000,2026,960000,0,appropriation,6,57.0,2026-27,"Personal service (50000) ......................... 960,000",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|50000|2026|960000
OFFICE FOR THE AGING,STATE OPERATIONS,General Fund,State Purposes Account - 10050,57050,2026,240000,0,appropriation,6,58.0,2026-27,"Nonpersonal service (57050) ...................... 240,000",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|57050|2026|240000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,Senior Community Service Employment Account - 25444,50000,2026,343000,0,appropriation,7,9.0,2026-27,"Personal service (50000) ......................... 343,000",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|50000|2026|343000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,Senior Community Service Employment Account - 25444,57050,2026,50000,0,appropriation,7,10.0,2026-27,"Nonpersonal service (57050) ....................... 50,000",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|57050|2026|50000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,Senior Community Service Employment Account - 25444,57000,2026,50000,0,appropriation,7,22.0,2026-27,"Supplies and materials (57000) .................... 50,000",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|57000|2026|50000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,Senior Community Service Employment Account - 25444,54000,2026,50000,0,appropriation,7,23.0,2026-27,"Travel (54000) .................................... 50,000",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|54000|2026|50000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,Senior Community Service Employment Account - 25444,51000,2026,150000,0,appropriation,7,24.0,2026-27,"Contractual services (51000) ..................... 150,000",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|51000|2026|150000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,Senior Community Service Employment Account - 25444,51000,2026,100000,0,appropriation,7,36.0,2026-27,"Contractual services (51000) ..................... 100,000",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|51000|2026|100000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,10311,2025,9416000,9329000,reappropriation,8,7.0,2026-27,"10 Personal service (50000) ... 9,416,000 .............. (re. $9,329,000)",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|10311|2025|9416000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,57050,2025,2549000,2532000,reappropriation,8,,2026-27,"11 Nonpersonal service (57050) ... 2,549,000 ........... (re. $2,532,000)",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|57050|2025|2549000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,10311,2024,9416000,8676000,reappropriation,8,13.0,2026-27,"16 Personal service (50000) ... 9,416,000 .............. (re. $8,676,000)",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|10311|2024|9416000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,57050,2024,2549000,2032000,reappropriation,8,,2026-27,"17 Nonpersonal service (57050) ... 2,549,000 ........... (re. $2,032,000)",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|57050|2024|2549000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,10311,2023,6422000,6422000,reappropriation,8,19.0,2026-27,"22 Personal service (50000) ... 6,422,000 .............. (re. $6,422,000)",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|10311|2023|6422000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,57050,2023,1739000,1622000,reappropriation,8,,2026-27,"23 Nonpersonal service (57050) ... 1,739,000 ........... (re. $1,622,000)",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|57050|2023|1739000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,10311,2022,6422000,1477228,reappropriation,8,25.0,2026-27,"28 Personal service (50000) ... 6,422,000 .............. (re. $1,477,228)",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|10311|2022|6422000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,57050,2022,1739000,362000,reappropriation,8,,2026-27,"29 Nonpersonal service (57050) ... 1,739,000 ............. (re. $362,000)",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|57050|2022|1739000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,10314,2025,343000,338000,reappropriation,8,35.0,2026-27,"38 Personal service (50000) ... 343,000 .................. (re. $338,000)",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|10314|2025|343000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,57050,2025,50000,50000,reappropriation,8,,2026-27,"39 Nonpersonal service (57050) ... 50,000 ................. (re. $50,000)",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|57050|2025|50000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,10314,2024,343000,278000,reappropriation,8,41.0,2026-27,"44 Personal service (50000) ... 343,000 .................. (re. $278,000)",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|10314|2024|343000
