agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,81001,2024,9900000,5873000,"4 By chapter 50, section 1, of the laws of 2024:
5 For services and expenses related to the administration program.
6 Notwithstanding any other provision of law to the contrary, the OGS
7 Interchange and Transfer Authority, and the IT Interchange and
8 Transfer Authority as defined in the 2024-25 state fiscal year state
9 operations appropriation for the budget division program of the
10 division of the budget, are deemed fully incorporated herein and a
11 part of this appropriation as if fully stated (81001).
12 Personal service--regular (50100) ... 9,900,000 ..... (re. $5,873,000)",20,4.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|81001|2024|9900000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,10901,2024,19935000,9793000,"22 By chapter 50, section 1, of the laws of 2024:
23 For services and expenses related to the agricultural business
24 services program.
25 Notwithstanding any other provision of law to the contrary, the OGS
26 Interchange and Transfer Authority, and the IT Interchange and
27 Transfer Authority as defined in the 2024-25 state fiscal year state
28 operations appropriation for the budget division program of the
29 division of the budget, are deemed fully incorporated herein and a
30 part of this appropriation as if fully stated (10901).
31 Personal service--regular (50100) ... 19,935,000 .... (re. $9,793,000)",20,22.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2024|19935000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Plant Industry Account - 22029,10901,2023,52000,11000,"5 By chapter 50, section 1, of the laws of 2023:
6 For services and expenses related to the agricultural business
7 services program (10901).
8 Personal service--regular (50100) ... 52,000 ........... (re. $11,000)",26,5.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2023|52000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Plant Industry Account - 22029,10901,2022,52000,2000,"14 By chapter 50, section 1, of the laws of 2022:
15 For services and expenses related to the agricultural business
16 services program (10901).
17 Personal service--regular (50100) ... 52,000 ............ (re. $2,000)",26,14.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2022|52000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Plant Industry Account - 22029,10901,2021,10000,10000,"22 By chapter 50, section 1, of the laws of 2021:
23 For services and expenses related to the agricultural business
24 services program (10901).
25 Supplies and materials (57000) ... 10,000 .............. (re. $10,000)",26,22.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2021|10000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Plant Industry Account - 22029,10901,2023,846000,799000,"43 By chapter 50, section 1, of the laws of 2023:
44 For services and expenses including liabilities incurred prior to
45 April 1, 2023 (10901).
46 Personal service--regular (50100) ... 846,000 ......... (re. $799,000)",26,43.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2023|846000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Special Agricultural Inspecting and Marketing Account - 21955,10901,2022,846000,798000,"9 By chapter 50, section 1, of the laws of 2022:
10 For services and expenses including liabilities incurred prior to
11 April 1, 2022 (10901).
12 Personal service--regular (50100) ... 846,000 ......... (re. $798,000)",27,9.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2022|846000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Special Agricultural Inspecting and Marketing Account - 21955,10901,2021,792000,786000,"21 By chapter 50, section 1, of the laws of 2021:
22 For services and expenses including liabilities incurred prior to
23 April 1, 2021 (10901).
24 Personal service--regular (50100) ... 792,000 ......... (re. $786,000)",27,21.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2021|792000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,10910,2024,15317000,6936000,"7 By chapter 50, section 1, of the laws of 2024:
8 For services and expenses related to the consumer food services
9 program.
10 Notwithstanding any other provision of law to the contrary, the OGS
11 Interchange and Transfer Authority, and the IT Interchange and
12 Transfer Authority as defined in the 2024-25 state fiscal year state
13 operations appropriation for the budget division program of the
14 division of the budget, are deemed fully incorporated herein and a
15 part of this appropriation as if fully stated (10910).
16 Personal service--regular (50100) ... 15,317,000 .... (re. $6,936,000)",29,7.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2024|15317000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Farm Products Inspection Account - 21948,10910,2023,943000,564000,"23 By chapter 50, section 1, of the laws of 2023:
24 For services and expenses related to the consumer food services
25 program (10910).
26 Personal service--regular (50100) ... 943,000 ......... (re. $564,000)",33,23.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2023|943000
