agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,composite_key
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,10311,2025,9416000,9329000,reappropriation,8,7.0,2026-27,"10 Personal service (50000) ... 9,416,000 .............. (re. $9,329,000)",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|10311|2025|9416000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,10311,2024,9416000,8676000,reappropriation,8,13.0,2026-27,"16 Personal service (50000) ... 9,416,000 .............. (re. $8,676,000)",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|10311|2024|9416000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,10311,2023,6422000,6422000,reappropriation,8,19.0,2026-27,"22 Personal service (50000) ... 6,422,000 .............. (re. $6,422,000)",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|10311|2023|6422000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,10311,2022,6422000,1477228,reappropriation,8,25.0,2026-27,"28 Personal service (50000) ... 6,422,000 .............. (re. $1,477,228)",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|10311|2022|6422000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,10314,2025,343000,338000,reappropriation,8,35.0,2026-27,"38 Personal service (50000) ... 343,000 .................. (re. $338,000)",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|10314|2025|343000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,10314,2024,343000,278000,reappropriation,8,41.0,2026-27,"44 Personal service (50000) ... 343,000 .................. (re. $278,000)",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|10314|2024|343000
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,10314,2022,343000,89000,reappropriation,8,47.0,2026-27,"50 Personal service (50000) ... 343,000 ................... (re. $89,000)",STOPS 26-27 Executive.pdf,OFFICE FOR THE AGING|10314|2022|343000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,81001,2025,10400000,6031000,reappropriation,18,6.0,2026-27,"14 Personal service--regular (50100) ... 10,400,000 .... (re. $6,031,000)",STOPS 26-27 Executive.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|81001|2025|10400000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,10901,2025,25000000,13321000,reappropriation,18,27.0,2026-27,"36 Personal service--regular (50100) ... 25,000,000 ... (re. $13,321,000)",STOPS 26-27 Executive.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2025|25000000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,10901,2024,2552000,2537000,reappropriation,18,43.0,2026-27,"52 Contractual services (51000) ... 2,552,000 .......... (re. $2,537,000)",STOPS 26-27 Executive.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2024|2552000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Food and Nutrition Services Account - 25021,11419,2019,1125000,472000,reappropriation,19,54.0,2026-27,"5 Contractual services (51000) ... 1,125,000 ............ (re. $472,000)",STOPS 26-27 Executive.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|11419|2019|1125000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Food and Nutrition Services Account - 25021,11419,2018,1125000,115000,reappropriation,19,7.0,2026-27,"18 Contractual services (51000) ... 1,125,000 ............ (re. $115,000)",STOPS 26-27 Executive.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|11419|2018|1125000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Food and Nutrition Services Account - 25021,10901,1991,6500000,6250000,reappropriation,19,20.0,2026-27,"24 (10901) ... 6,500,000 ............................. (re. $6,250,000)",STOPS 26-27 Executive.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|1991|6500000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Food and Nutrition Services Account - 25021,10911,2025,763000,763000,reappropriation,19,30.0,2026-27,"41 Personal service (50000) ... 763,000 .................. (re. $763,000)",STOPS 26-27 Executive.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10911|2025|763000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Food and Nutrition Services Account - 25021,10911,2024,763000,763000,reappropriation,19,46.0,2026-27,"57 Personal service (50000) ... 763,000 .................. (re. $763,000)",STOPS 26-27 Executive.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10911|2024|763000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Miscellaneous Federal Operating Grants Account - 25006,10911,2023,763000,28000,reappropriation,20,62.0,2026-27,"11 Personal service (50000) ... 763,000 ................... (re. $28,000)",STOPS 26-27 Executive.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10911|2023|763000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Miscellaneous Federal Operating Grants Account - 25006,10911,2022,44972000,22639000,reappropriation,20,16.0,2026-27,"27 Nonpersonal service (57050) ... 44,972,000 ......... (re. $22,639,000)",STOPS 26-27 Executive.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10911|2022|44972000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Miscellaneous Federal Operating Grants Account - 25006,10911,2021,762000,452000,reappropriation,20,31.0,2026-27,"42 Personal service (50000) ... 762,000 .................. (re. $452,000)",STOPS 26-27 Executive.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10911|2021|762000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Miscellaneous Federal Operating Grants Account - 25006,10912,2025,1635000,1576000,reappropriation,20,51.0,2026-27,"62 Personal service (50000) ... 1,635,000 .............. (re. $1,576,000)",STOPS 26-27 Executive.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10912|2025|1635000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Miscellaneous Federal Operating Grants Account - 25006,10912,2024,1635000,95000,reappropriation,21,5.0,2026-27,"16 Personal service (50000) ... 1,635,000 ................. (re. $95,000)",STOPS 26-27 Executive.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10912|2024|1635000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Miscellaneous Federal Operating Grants Account - 25006,10912,2023,1635000,349000,reappropriation,21,21.0,2026-27,"32 Personal service (50000) ... 1,635,000 ................ (re. $349,000)",STOPS 26-27 Executive.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10912|2023|1635000
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Miscellaneous Federal Operating Grants Account - 25006,10912,2022,1635000,401000,reappropriation,21,37.0,2026-27,"48 Personal service (50000) ... 1,635,000 ................ (re. $401,000)",STOPS 26-27 Executive.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10912|2022|1635000
