status,match_pass,similarity_score,agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
discontinued,,,DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,81001,2024,9900000,5873000,"4 By chapter 50, section 1, of the laws of 2024:
5 For services and expenses related to the administration program.
6 Notwithstanding any other provision of law to the contrary, the OGS
7 Interchange and Transfer Authority, and the IT Interchange and
8 Transfer Authority as defined in the 2024-25 state fiscal year state
9 operations appropriation for the budget division program of the
10 division of the budget, are deemed fully incorporated herein and a
11 part of this appropriation as if fully stated (81001).
12 Personal service--regular (50100) ... 9,900,000 ..... (re. $5,873,000)",20,4.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|81001|2024|9900000
discontinued,,,DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Food and Nutrition Services Account - 25021,10911,2020,762000,137000,"37 By chapter 50, section 1, of the laws of 2020:
38 For services and expenses related to federal food and nutrition
39 services including suballocation to other state departments and
40 agencies. Notwithstanding section 51 of the state finance law and
41 any other provision of law to the contrary, the funds appropriated
42 herein may be increased or decreased by transfer between state oper-
43 ations and aid to localities and from/to appropriations for any
44 prior or subsequent grant period within the same federal
45 fund/program to accomplish the intent of this appropriation, as long
46 as such corresponding prior/subsequent grant periods within such
47 appropriations have been reappropriated as necessary (10911).
48 Personal service (50000) ... 762,000 .................. (re. $137,000)",22,37.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10911|2020|762000
discontinued,,,DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Miscellaneous Gifts Account - 20105,10901,2024,500000,500000,"21 By chapter 50, section 1, of the laws of 2024:
22 For services and expenses related to the agricultural business
23 services program (10901).
24 Contractual services (51000) ... 500,000 .............. (re. $500,000)",24,21.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2024|500000
discontinued,,,DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Miscellaneous Gifts Account - 20105,10901,2023,500000,500000,"25 By chapter 50, section 1, of the laws of 2023:
26 For services and expenses related to the agricultural business
27 services program (10901).
28 Contractual services (51000) ... 500,000 .............. (re. $500,000)",24,25.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2023|500000
discontinued,,,DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Miscellaneous Gifts Account - 20105,10901,2022,500000,500000,"29 By chapter 50, section 1, of the laws of 2022:
30 For services and expenses related to the agricultural business
31 services program (10901).
32 Contractual services (51000) ... 500,000 .............. (re. $500,000)",24,29.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2022|500000
discontinued,,,DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Miscellaneous Gifts Account - 20105,10901,2021,500000,500000,"33 By chapter 50, section 1, of the laws of 2021:
34 For services and expenses related to the agricultural business
35 services program (10901).
36 Contractual services (51000) ... 500,000 .............. (re. $500,000)",24,33.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2021|500000
discontinued,,,DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Pet Dealer License Account - 22137,10901,2024,1000000,783000,"40 By chapter 50, section 1, of the laws of 2024:
41 Notwithstanding any other provision of law to the contrary, the direc-
42 tor of the budget is hereby authorized to transfer up to $1,000,000
43 to local assistance for the purpose of providing funding to a not
44 for profit entity chosen to administer a state animal population
AB
25 12550-10-5
DEPARTMENT OF AGRICULTURE AND MARKETS
STATE OPERATIONS - REAPPROPRIATIONS 2025-26
1 control program pursuant to section 117-a of the agriculture and
2 markets law, and for the purpose of providing funding to the city of
3 New York equal to the amount of spay/neuter revenues remitted to
4 this account from such city, as determined by the commissioner of
5 agriculture and markets (10901).
6 Contractual services (51000) ... 1,000,000 ............ (re. $783,000)",25,40.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2024|1000000
discontinued,,,DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Pet Dealer License Account - 22137,10901,2023,1000000,345000,"7 By chapter 50, section 1, of the laws of 2023:
8 Notwithstanding any other provision of law to the contrary, the direc-
9 tor of the budget is hereby authorized to transfer up to $1,000,000
10 to local assistance for the purpose of providing funding to a not
11 for profit entity chosen to administer a state animal population
12 control program pursuant to section 117-a of the agriculture and
13 markets law, and for the purpose of providing funding to the city of
14 New York equal to the amount of spay/neuter revenues remitted to
15 this account from such city, as determined by the commissioner of
16 agriculture and markets (10901).
17 Contractual services (51000) ... 1,000,000 ............ (re. $345,000)",25,7.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2023|1000000
discontinued,,,DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Pet Dealer License Account - 22137,10901,2022,1000000,567000,"18 By chapter 50, section 1, of the laws of 2022:
19 Notwithstanding any other provision of law to the contrary, the direc-
20 tor of the budget is hereby authorized to transfer up to $1,000,000
21 to local assistance for the purpose of providing funding to a not
22 for profit entity chosen to administer a state animal population
23 control program pursuant to section 117-a of the agriculture and
24 markets law, and for the purpose of providing funding to the city of
25 New York equal to the amount of spay/neuter revenues remitted to
26 this account from such city, as determined by the commissioner of
27 agriculture and markets (10901).
28 Contractual services (51000) ... 1,000,000 ............ (re. $567,000)",25,18.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2022|1000000
discontinued,,,DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Pet Dealer License Account - 22137,10901,2021,1000000,723000,"29 By chapter 50, section 1, of the laws of 2021:
30 Notwithstanding any other provision of law to the contrary, the direc-
31 tor of the budget is hereby authorized to transfer up to $1,000,000
32 to local assistance for the purpose of providing funding to a not
33 for profit entity chosen to administer a state animal population
34 control program pursuant to section 117-a of the agriculture and
35 markets law, and for the purpose of providing funding to the city of
36 New York equal to the amount of spay/neuter revenues remitted to
37 this account from such city, as determined by the commissioner of
38 agriculture and markets (10901).
39 Contractual services (51000) ... 1,000,000 ............ (re. $723,000)",25,29.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2021|1000000
discontinued,,,DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Pet Dealer License Account - 22137,10901,2024,55000,55000,"43 By chapter 50, section 1, of the laws of 2024:
44 For services and expenses related to the agricultural business
45 services program (10901).
46 Personal service--regular (50100) ... 55,000 ........... (re. $55,000)",25,43.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2024|55000
discontinued,,,DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Plant Industry Account - 22029,10901,2023,52000,11000,"5 By chapter 50, section 1, of the laws of 2023:
6 For services and expenses related to the agricultural business
7 services program (10901).
8 Personal service--regular (50100) ... 52,000 ........... (re. $11,000)",26,5.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2023|52000
discontinued,,,DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Plant Industry Account - 22029,10901,2022,52000,2000,"14 By chapter 50, section 1, of the laws of 2022:
15 For services and expenses related to the agricultural business
16 services program (10901).
17 Personal service--regular (50100) ... 52,000 ............ (re. $2,000)",26,14.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2022|52000
discontinued,,,DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Plant Industry Account - 22029,10901,2021,10000,10000,"22 By chapter 50, section 1, of the laws of 2021:
23 For services and expenses related to the agricultural business
24 services program (10901).
25 Supplies and materials (57000) ... 10,000 .............. (re. $10,000)",26,22.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2021|10000
discontinued,,,DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Plant Industry Account - 22029,10901,2024,886000,851000,"31 By chapter 50, section 1, of the laws of 2024:
32 For services and expenses including liabilities incurred prior to
33 April 1, 2024 (10901).
34 Personal service--regular (50100) ... 886,000 ......... (re. $851,000)",26,31.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2024|886000
discontinued,,,DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Plant Industry Account - 22029,10901,2023,846000,799000,"43 By chapter 50, section 1, of the laws of 2023:
44 For services and expenses including liabilities incurred prior to
45 April 1, 2023 (10901).
46 Personal service--regular (50100) ... 846,000 ......... (re. $799,000)",26,43.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2023|846000
discontinued,,,DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Special Agricultural Inspecting and Marketing Account - 21955,10901,2022,846000,798000,"9 By chapter 50, section 1, of the laws of 2022:
10 For services and expenses including liabilities incurred prior to
11 April 1, 2022 (10901).
12 Personal service--regular (50100) ... 846,000 ......... (re. $798,000)",27,9.0,2025-26,STOPS 25-26.pdf,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2022|846000
