status,match_pass,similarity_score,agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
discontinued,,,CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15484,2025,52300300,0,"69 12550-10-5 CITY UNIVERSITY OF NEW YORK STATE OPERATIONS 2025-26 1 Provided further, $4,000,000 of the appro- 2 priation shall be made available for 3 services and expenses of expanding open 4 educational resources at the city univer- 5 sity of New York senior and community 6 colleges targeting high-enrollment courses 7 including general education courses with 8 the highest cost-savings potential for 9 students (15484) ............................ 52,300,300",69,9,2025-26,STOPS 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15484|2025|52300300|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
discontinued,,,CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15485,2025,12166900,0,"10 For services and expenses for information 11 services and library/technology systems 12 (15485) ..................................... 12,166,900",69,12,2025-26,STOPS 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15485|2025|12166900|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
discontinued,,,CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15532,2025,2000000,0,"13 For services and expenses related to the 14 expansion of nursing programs. A portion 15 of the funds herein appropriated may be 16 transferred to the general fund-local 17 assistance account of the city university 18 of New York to accomplish the purposes of 19 this appropriation, in accordance with a 20 plan approved by the director of the budg- 21 et (15532) ................................... 2,000,000",69,21,2025-26,STOPS 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15532|2025|2000000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
discontinued,,,CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15435,2025,55541000,0,"22 For additional services and expenses related 23 to the expansion of nursing programs. A 24 portion of the funds herein appropriated 25 may be transferred to the general fund-lo- 26 cal assistance account of the city univer- 27 sity of New York to accomplish the 28 purposes of this appropriation, in accord- 29 ance with a plan approved by the director 30 of the budget ................................ 1,000,000 31 For services and expenses of senior colleges 32 to be distributed in accordance with 33 general fund operating support pursuant to 34 paragraph (f) of subdivision 7 of section 35 6206 of the education law (15435) ........... 55,541,000",69,35,2025-26,STOPS 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15435|2025|55541000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
discontinued,,,CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15436,2025,53000000,0,"36 For services and expenses of new full-time 37 faculty at senior colleges and community 38 colleges (15436) ............................ 53,000,000",69,38,2025-26,STOPS 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15436|2025|53000000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
discontinued,,,CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15448,2025,265000000,0,"39 For services and expenses of the Center for 40 Byzantine and Modern Greek Studies at 41 Queens College ................................. 300,000 42 For additional operating assistance at 43 senior colleges, provided that such funds 44 shall be allocated pursuant to a plan 45 approved by the director of the budget 46 (15448) .................................... 265,000,000",69,46,2025-26,STOPS 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15448|2025|265000000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
discontinued,,,CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15421,2025,37053500,0,"70 12550-10-5 CITY UNIVERSITY OF NEW YORK STATE OPERATIONS 2025-26 1 SEARCH FOR EDUCATION, ELEVATION AND KNOWLEDGE (SEEK) 2 PROGRAMS .................................................. 39,309,500 3 -------------- 4 Enterprise Funds 5 CUNY Senior College Operating Fund 6 CUNY Senior College Operating Account - 60851 7 For services and expenses to expand opportu- 8 nities in institutions of higher learning 9 for the educationally and economically 10 disadvantaged in accordance with section 11 6452 of the education law, for SEEK 12 programs on senior college campuses, 13 including $1,000,000 which shall be 14 utilized to increase employment opportu- 15 nities for SEEK students and meet the 16 matching requirements of the federal 17 college work study program for SEEK 18 students (15421) ............................ 37,053,500",70,18,2025-26,STOPS 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15421|2025|37053500|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
discontinued,,,CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15487,2025,52842400,0,"19 For additional services and expenses of the 20 SEEK program ................................. 2,256,000 21 -------------- 22 UNIVERSITY OPERATIONS .................................... 1,194,796,300 23 -------------- 24 Enterprise Funds 25 CUNY Senior College Operating Fund 26 CUNY Senior College Operating Account - 60851 27 For services and expenses of building 28 rentals (15487) ............................. 52,842,400",70,28,2025-26,STOPS 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15487|2025|52842400|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
discontinued,,,CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15488,2025,78627900,0,"29 For services and expenses for utilities 30 costs (15488) ............................... 78,627,900",70,30,2025-26,STOPS 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15488|2025|78627900|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
discontinued,,,CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15489,2025,1063326000,0,"31 For expenses of fringe benefits including 32 social security payments (15489) ......... 1,063,326,000",70,32,2025-26,STOPS 25-26.pdf,CITY UNIVERSITY OF NEW YORK|15489|2025|1063326000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
