agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,has_underlined_content,underlined_text,composite_key
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,10311,2024,9416000,9416000,reappropriation,8,5.0,2025-26,"8 Personal service (50000) ... 9,416,000 .............. (re. $9,416,000)",STOPS 25-26.pdf,False,,OFFICE FOR THE AGING|10311|2024|9416000|FHHS STATE OPERATIONS ACCOUNT - 25177
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,10311,2023,6422000,6422000,reappropriation,8,10.0,2025-26,"13 Personal service (50000) ... 6,422,000 .............. (re. $6,422,000)",STOPS 25-26.pdf,False,,OFFICE FOR THE AGING|10311|2023|6422000|FHHS STATE OPERATIONS ACCOUNT - 25177
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,10311,2022,6422000,5891000,reappropriation,8,15.0,2025-26,"18 Personal service (50000) ... 6,422,000 .............. (re. $5,891,000)",STOPS 25-26.pdf,False,,OFFICE FOR THE AGING|10311|2022|6422000|FHHS STATE OPERATIONS ACCOUNT - 25177
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,10314,2024,343000,343000,reappropriation,8,23.0,2025-26,"26 Personal service (50000) ... 343,000 .................. (re. $343,000)",STOPS 25-26.pdf,False,,OFFICE FOR THE AGING|10314|2024|343000|FHHS STATE OPERATIONS ACCOUNT - 25177
OFFICE FOR THE AGING,STATE OPERATIONS,Special Revenue Funds - Federal,FHHS State Operations Account - 25177,10314,2022,343000,89000,reappropriation,8,28.0,2025-26,"31 Personal service (50000) ... 343,000 ................... (re. $89,000)",STOPS 25-26.pdf,False,,OFFICE FOR THE AGING|10314|2022|343000|FHHS STATE OPERATIONS ACCOUNT - 25177
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,81001,2024,9900000,5873000,reappropriation,20,4.0,2025-26,"12 Personal service--regular (50100) ... 9,900,000 ..... (re. $5,873,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|81001|2024|9900000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,10901,2024,19935000,9793000,reappropriation,20,22.0,2025-26,"31 Personal service--regular (50100) ... 19,935,000 .... (re. $9,793,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|2024|19935000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Food and Nutrition Services Account - 25021,11419,2019,1125000,472000,reappropriation,21,37.0,2025-26,"4 Contractual services (51000) ... 1,125,000 ............ (re. $472,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|11419|2019|1125000|FEDERAL FOOD AND NUTRITION SERVICES ACCOUNT - 25021
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Food and Nutrition Services Account - 25021,11419,2018,1125000,266000,reappropriation,21,5.0,2025-26,"16 Contractual services (51000) ... 1,125,000 ............ (re. $266,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|11419|2018|1125000|FEDERAL FOOD AND NUTRITION SERVICES ACCOUNT - 25021
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Food and Nutrition Services Account - 25021,10901,1991,6500000,6250000,reappropriation,21,17.0,2025-26,"21 (10901) ... 6,500,000 ............................. (re. $6,250,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10901|1991|6500000|FEDERAL FOOD AND NUTRITION SERVICES ACCOUNT - 25021
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Food and Nutrition Services Account - 25021,10911,2024,763000,763000,reappropriation,21,25.0,2025-26,"36 Personal service (50000) ... 763,000 .................. (re. $763,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10911|2024|763000|FEDERAL FOOD AND NUTRITION SERVICES ACCOUNT - 25021
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Food and Nutrition Services Account - 25021,10911,2023,763000,200000,reappropriation,22,40.0,2025-26,"4 Personal service (50000) ... 763,000 .................. (re. $200,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10911|2023|763000|FEDERAL FOOD AND NUTRITION SERVICES ACCOUNT - 25021
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Food and Nutrition Services Account - 25021,10911,2022,44972000,35954000,reappropriation,22,8.0,2025-26,"19 Nonpersonal service (57050) ... 44,972,000 ......... (re. $35,954,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10911|2022|44972000|FEDERAL FOOD AND NUTRITION SERVICES ACCOUNT - 25021
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Food and Nutrition Services Account - 25021,10911,2021,762000,566000,reappropriation,22,22.0,2025-26,"33 Personal service (50000) ... 762,000 .................. (re. $566,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10911|2021|762000|FEDERAL FOOD AND NUTRITION SERVICES ACCOUNT - 25021
