approp_id,chapter_year,program,fund,approp_amount,reapprop_amount,enacted_page
21713,2023,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,General Fund; Local Assistance Account - 10000,54000000.0,49105000,217
21741,2023,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,General Fund; Local Assistance Account - 10000,15160000.0,15160000,263
21854,2023,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,General Fund; Local Assistance Account - 10000,1000000.0,1000000,263
21856,2023,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,General Fund; Local Assistance Account - 10000,16000000.0,11827000,263
23410,2023,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,General Fund; Local Assistance Account - 10000,7793000.0,7793000,263
23411,2023,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,General Fund; Local Assistance Account - 10000,1843000.0,1843000,263
21713,2022,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,General Fund; Local Assistance Account - 10000,54000000.0,32822000,263
21741,2022,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,General Fund; Local Assistance Account - 10000,15160000.0,11161000,263
21854,2022,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,General Fund; Local Assistance Account - 10000,1000000.0,323000,263
21856,2022,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,General Fund; Local Assistance Account - 10000,16000000.0,2550000,263
23410,2022,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,General Fund; Local Assistance Account - 10000,7793000.0,2610000,264
23411,2022,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,General Fund; Local Assistance Account - 10000,1843000.0,840000,264
21713,2021,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,General Fund; Local Assistance Account - 10000,54000000.0,5298000,264
21741,2021,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,General Fund; Local Assistance Account - 10000,15160000.0,5845000,264
21856,2021,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,General Fund; Local Assistance Account - 10000,13361000.0,131000,264
23410,2021,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,General Fund; Local Assistance Account - 10000,6293000.0,335000,264
23411,2021,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,General Fund; Local Assistance Account - 10000,1843000.0,4000,264
21713,2020,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,General Fund; Local Assistance Account - 10000,54000000.0,5000,264
21741,2020,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,General Fund; Local Assistance Account - 10000,15160000.0,241000,265
23410,2020,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,General Fund; Local Assistance Account - 10000,6293000.0,169000,265
23411,2020,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,General Fund; Local Assistance Account - 10000,1843000.0,159000,265
23410,2019,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,General Fund; Local Assistance Account - 10000,6293000.0,482000,265
23411,2019,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,General Fund; Local Assistance Account - 10000,1843000.0,10000,265
23410,2018,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,General Fund; Local Assistance Account - 10000,6293000.0,47000,265
23411,2018,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,General Fund; Local Assistance Account - 10000,1843000.0,24000,265
23410,2017,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,General Fund; Local Assistance Account - 10000,6293000.0,207000,266
21713,2023,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,Special Revenue Funds - Federal; Federal Education Fund; Federal Department of Education Account - 25210,70000000.0,70000000,266
21734,2023,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,Special Revenue Funds - Federal; Federal Education Fund; Federal Department of Education Account - 25210,48704000.0,46861000,266
21741,2023,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,Special Revenue Funds - Federal; Federal Education Fund; Federal Department of Education Account - 25210,2500000.0,2500000,266
21856,2023,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,Special Revenue Funds - Federal; Federal Education Fund; Federal Department of Education Account - 25210,2572000.0,2572000,266
21713,2022,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,Special Revenue Funds - Federal; Federal Education Fund; Federal Department of Education Account - 25210,70000000.0,57600000,266
21734,2022,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,Special Revenue Funds - Federal; Federal Education Fund; Federal Department of Education Account - 25210,48704000.0,35274000,266
21741,2022,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,Special Revenue Funds - Federal; Federal Education Fund; Federal Department of Education Account - 25210,2500000.0,1645000,266
21856,2022,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,Special Revenue Funds - Federal; Federal Education Fund; Federal Department of Education Account - 25210,2572000.0,2513000,266
21713,2021,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,Special Revenue Funds - Federal; Federal Education Fund; Federal Department of Education Account - 25210,70000000.0,56703000,267
21734,2021,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,Special Revenue Funds - Federal; Federal Education Fund; Federal Department of Education Account - 25210,48704000.0,10764000,267
21852,2023,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,Special Revenue Funds - Other; Miscellaneous Special Revenue Fund; VESID Social Security Account - 22001,6871000.0,6871000,267
21852,2022,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,Special Revenue Funds - Other; Miscellaneous Special Revenue Fund; VESID Social Security Account - 22001,6871000.0,6099000,267
21852,2021,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,Special Revenue Funds - Other; Miscellaneous Special Revenue Fund; VESID Social Security Account - 22001,11760000.0,5737000,267
21852,2020,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,Special Revenue Funds - Other; Miscellaneous Special Revenue Fund; VESID Social Security Account - 22001,11760000.0,5376000,267
21852,2019,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,Special Revenue Funds - Other; Miscellaneous Special Revenue Fund; VESID Social Security Account - 22001,11760000.0,11760000,267
21852,2023,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,Special Revenue Funds - Other; Vocational Rehabilitation Fund; Vocational Rehabilitation Account - 23051,698000.0,698000,267
21852,2022,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,Special Revenue Funds - Other; Vocational Rehabilitation Fund; Vocational Rehabilitation Account - 23051,698000.0,652000,267
21852,2021,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,Special Revenue Funds - Other; Vocational Rehabilitation Fund; Vocational Rehabilitation Account - 23051,698000.0,672000,267
21852,2020,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,Special Revenue Funds - Other; Vocational Rehabilitation Fund; Vocational Rehabilitation Account - 23051,698000.0,694000,267
21852,2019,ADULT CAREER AND CONTINUING EDUCATION SERVICES PROGRAM,Special Revenue Funds - Other; Vocational Rehabilitation Fund; Vocational Rehabilitation Account - 23051,698000.0,696000,268
21846,2023,CULTURAL EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,96127000.0,11237000,268
